    [ 62%] Building NVCC (Device) object caffe2/CMakeFiles/caffe2_gpu.dir/operators/caffe2_gpu_generated_lstm_unit_op_gpu.cu.o
    [ 62%] Building NVCC (Device) object caffe2/CMakeFiles/caffe2_gpu.dir/operators/caffe2_gpu_generated_roi_pool_op.cu.o
    /home/user/backup/lichu/pytorch/caffe2/operators/mem_query_op.cu(9): warning: function "caffe2::::GetGPUMemoryUsageOp::GetGPUMemoryUsageOp(const caffe2::OperatorDef &, caffe2::Workspace *)" was declared but never referenced
    [ 62%] Building NVCC (Device) object caffe2/CMakeFiles/caffe2_gpu.dir/operators/caffe2_gpu_generated_relu_op.cu.o
    [ 62%] Building NVCC (Device) object caffe2/CMakeFiles/caffe2_gpu.dir/operators/rnn/caffe2_gpu_generated_recurrent_network_op_gpu.cu.o
    [ 62%] Building NVCC (Device) object caffe2/CMakeFiles/caffe2_gpu.dir/sgd/caffe2_gpu_generated_yellowfin_op_gpu.cu.o
    [ 62%] Building NVCC (Device) object caffe2/CMakeFiles/caffe2_gpu.dir/sgd/caffe2_gpu_generated_adadelta_op_gpu.cu.o
    [ 62%] Building NVCC (Device) object caffe2/CMakeFiles/caffe2_gpu.dir/sgd/caffe2_gpu_generated_adam_op_gpu.cu.o
    [ 62%] Building NVCC (Device) object caffe2/CMakeFiles/caffe2_gpu.dir/sgd/caffe2_gpu_generated_fp32_momentum_sgd_op.cu.o
    [ 62%] Building NVCC (Device) object caffe2/CMakeFiles/caffe2_gpu.dir/sgd/caffe2_gpu_generated_lars_op_gpu.cu.o
    [ 62%] Building NVCC (Device) object caffe2/CMakeFiles/caffe2_gpu.dir/sgd/caffe2_gpu_generated_adagrad_op_gpu.cu.o
    [ 62%] Building NVCC (Device) object caffe2/CMakeFiles/caffe2_gpu.dir/sgd/caffe2_gpu_generated_rmsprop_op_gpu.cu.o
    [ 62%] Building NVCC (Device) object caffe2/CMakeFiles/caffe2_gpu.dir/sgd/caffe2_gpu_generated_momentum_sgd_op_gpu.cu.o
    [ 63%] Building NVCC (Device) object caffe2/CMakeFiles/caffe2_gpu.dir/sgd/caffe2_gpu_generated_fp16_momentum_sgd_op.cu.o
    Scanning dependencies of target caffe2_gpu
    [ 63%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/native/cudnn/BatchNorm.cpp.o
    [ 63%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/native/cudnn/RNN.cpp.o
    [ 63%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/native/cudnn/GridSampler.cpp.o
    [ 63%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/native/cudnn/LossCTC.cpp.o
    [ 63%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/native/cudnn/Conv.cpp.o
    [ 63%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/native/miopen/BatchNorm_miopen.cpp.o
    [ 63%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/native/miopen/Conv_miopen.cpp.o
    [ 63%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/native/sparse/cuda/SparseCUDATensor.cpp.o
    [ 63%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/cuda/CUDAContext.cpp.o
    [ 63%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/cuda/detail/CUDAGuardImpl.cpp.o
    [ 63%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/cuda/PinnedMemoryAllocator.cpp.o
    [ 63%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/cuda/CUDAGenerator.cpp.o
    [ 63%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/cuda/CUDAStream.cpp.o
    [ 63%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/native/cudnn/AffineGridGenerator.cpp.o
    [ 63%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/cuda/detail/CUDAHooks.cpp.o
    [ 63%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/cuda/CUDATypeDefault.cpp.o
