### FortiOS 6.2.5 Log Reference

#### GTP Logs

**Type: GTP**
**Category: GTP-ALL**
**Severity: Information**

| LogFieldName | Description | DataType | Length |
|--------------|-------------|----------|--------|
| apn | Access Point Name | string | 128 |
| cpaddr | Control Plane Address (either downlink or uplink) | ip | 39 |
| cpteid | Control Plane TEID (either downlink or uplink) | uint32 | 10 |
| date | Date | string | 10 |
| deny_cause | Deny Cause | string | 25 |
| devid | Device ID | string | 16 |
| dstport | Destination Port | uint16 | 5 |
| dtlexp | Detailed Explanation | string | 64 |
| end-usr-address | End User IP Address | ip | 39 |
| endusraddress6 | End User IPv6 Address | ip | 39 |
| eventtime | Event Time | uint64 | 20 |
| from | From IP | ip | 128 |
| headerteid | Tunnel Endpoint ID Header | uint32 | 10 |
| ietype | Malformed GTP IE Number | uint8 | 3 |
| imei-sv | IMEI-SV | string | 32 |
| imsi | International Mobile Subscriber Identity | string | 16 |
| level | Log Level | string | 11 |
| logid | Log ID | string | 10 |
| msg-type | Message Type | uint8 | 3 |
| msisdn | Mobile Subscriber ISDN Number (telephone number on SIM card) | string | 16 |
| profile | Profile Name | string | 64 |
| rat-type | Radio Access Technology Type | string | 7 |
| selection | APN Selection, which is one IE in GTP packet | string | 14 |
| seqnum | GTP Packet Sequence Number | uint32 | 10 |
| snetwork | Source Network, it's an IE type in GTPv2 packet | string | 64 |
| srcport | Source Port | uint16 | 5 |
| status | Status | string | 23 |
| subtype | Log Subtype | string | 20 |
| time | Time | string | 8 |
| to | To IP | ip | 512 |
| tunnel-idx | Tunnel Serial Number, Internally Assigned | uint32 | 10 |
| type | Log Type | string | 16 |
| tz | Time Zone | string | 5 |
| uli | User Location Information | string | 32 |
| ulimcc | ULI MCC | uint16 | 3 |
| ulimnc | ULI MNC | uint16 | 3 |
| vd | Virtual Domain Name | string | 32 |
| version | Version | uint32 | 64 |

**Message ID: 41228 - LOGID_GTPV2_TRAFFIC_COUNT**
- **Message Description:** LOGID_GTPV2_TRAFFIC_COUNT
- **Message Meaning:** Statistics summary information when the GTPv2 tunnel is being torn down.

**Log Fields:**
| LogFieldName | Description | DataType | Length |
|--------------|-------------|----------|--------|
| apn | Access Point Name | string | 128 |
| c-bytes | Control Plane Data Bytes | uint64 | 20 |
| c-pkts | Control Plane Packets | uint64 | 20 |
| cpdladdr | Control Plane Downlink IP Address | ip | 39 |
| cpdlisraddr | Control Plane ISR Downlink IP Address | ip | 39 |
| cpdlisrteid | Control Plane ISR Downlink TEID | uint32 | 10 |
| cpdlteid | Control Plane Downlink TEID | uint32 | 10 |
| cpuladdr | Control Plane Uplink IP Address | ip | 39 |
| cpulteid | Control Plane Uplink TEID | uint32 | 10 |
| date | Date | string | 10 |
| devid | Device ID | string | 16 |
| duration | Tunnel Duration | uint32 | 10 |
| end-usr-address | End User IP Address | ip | 39 |
| endusraddress6 | End User IPv6 Address | ip | 39 |
| eventtime | Event Time | uint64 | 20 |
| imei-sv | IMEI-SV | string | 32 |
| imsi | International Mobile Subscriber Identity | string | 16 |
| level | Log Level | string | 11 |
| logid | Log ID | string | 10 |
| msisdn | Mobile Subscriber ISDN Number (telephone number on SIM card) | string | 16 |
| profile | Profile Name | string | 64 |
| rat-type | Radio Access Technology Type | string | 7 |
