pg_control version number:            903  
Catalog version number:               201104251  
Database system identifier:           5607124598447901567  
Database cluster state:               in production  
pg_control last modified:             Fri 27 May 2011 05:23:36 PM CST  
Latest checkpoint location:           0/E933940  
Prior checkpoint location:            0/E83EF68  
Latest checkpoint's REDO location:    0/E933940  
Latest checkpoint's TimeLineID:       1  
```  
其他不再多做解释，还是参照源代码。  
查看ITEMS的信息：  
```  
digoal=# select * from heap_page_items(get_raw_page('tbl_user_info',0));  
```  
lp表示line point  
lp_off是tuple在page中的相对位置  
t_xmin,t_xmax都与实务有关  
t_ctid就是表示这个LINE POINT指向的位置。   
其他参考源代码.  
```  
 lp  | lp_off | lp_flags | lp_len | t_xmin | t_xmax | t_field3 | t_ctid  | t_infomask2 | t_infomask | t_hoff | t_bits | t_oid   
-----+--------+----------+--------+--------+--------+----------+---------+-------------+------------+--------+--------+-------  
   1 |   8136 |        1 |     49 |   1877 |      0 |        0 | (0,1)   |           4 |       2306 |     24 |        |        
   2 |   8080 |        1 |     49 |   1877 |      0 |        0 | (0,2)   |           4 |       2306 |     24 |        |        
   3 |   8024 |        1 |     49 |   1877 |      0 |        0 | (0,3)   |           4 |       2306 |     24 |        |        
   4 |   7968 |        1 |     49 |   1877 |      0 |        0 | (0,4)   |           4 |       2306 |     24 |        |        
   5 |   7912 |        1 |     49 |   1877 |      0 |        0 | (0,5)   |           4 |       2306 |     24 |        |        
   6 |   7856 |        1 |     49 |   1877 |      0 |        0 | (0,6)   |           4 |       2306 |     24 |        |        
   7 |   7800 |        1 |     49 |   1877 |      0 |        0 | (0,7)   |           4 |       2306 |     24 |        |        
   8 |   7744 |        1 |     49 |   1877 |      0 |        0 | (0,8)   |           4 |       2306 |     24 |        |        
   9 |   7688 |        1 |     49 |   1877 |      0 |        0 | (0,9)   |           4 |       2306 |     24 |        |        
  10 |   7632 |        1 |     49 |   1877 |      0 |        0 | (0,10)  |           4 |       2306 |     24 |        |        
  11 |   7576 |        1 |     49 |   1877 |      0 |        0 | (0,11)  |           4 |       2306 |     24 |        |        
  12 |   7520 |        1 |     49 |   1877 |      0 |        0 | (0,12)  |           4 |       2306 |     24 |        |        
  13 |   7464 |        1 |     49 |   1877 |      0 |        0 | (0,13)  |           4 |       2306 |     24 |        |        
  14 |   7408 |        1 |     49 |   1877 |      0 |        0 | (0,14)  |           4 |       2306 |     24 |        |        
  15 |   7352 |        1 |     49 |   1877 |      0 |        0 | (0,15)  |           4 |       2306 |     24 |        |        
  16 |   7296 |        1 |     49 |   1877 |      0 |        0 | (0,16)  |           4 |       2306 |     24 |        |        
  17 |   7240 |        1 |     49 |   1877 |      0 |        0 | (0,17)  |           4 |       2306 |     24 |        |        
  18 |   7184 |        1 |     49 |   1877 |      0 |        0 | (0,18)  |           4 |       2306 |     24 |        |        
  19 |   7128 |        1 |     49 |   1877 |      0 |        0 | (0,19)  |           4 |       2306 |     24 |        |        
  20 |   7072 |        1 |     49 |   1877 |      0 |        0 | (0,20)  |           4 |       2306 |     24 |        |        
  21 |   7016 |        1 |     49 |   1877 |      0 |        0 | (0,21)  |           4 |       2306 |     24 |        |        
  22 |   6960 |        1 |     49 |   1877 |      0 |        0 | (0,22)  |           4 |       2306 |     24 |        |        
  23 |   6904 |        1 |     49 |   1877 |      0 |        0 | (0,23)  |           4 |       2306 |     24 |        |        
  24 |   6848 |        1 |     49 |   1877 |      0 |        0 | (0,24)  |           4 |       2306 |     24 |        |        
  25 |   6792 |        1 |     49 |   1877 |      0 |        0 | (0,25)  |           4 |       2306 |     24 |        |        
  26 |   6736 |        1 |     49 |   1877 |      0 |        0 | (0,26)  |           4 |       2306 |     24 |        |        
  27 |   6680 |        1 |     49 |   1877 |      0 |        0 | (0,27)  |           4 |       2306 |     24 |        |        
  28 |   6624 |        1 |     49 |   1877 |      0 |        0 | (0,28)  |           4 |       2306 |     24 |        |        
  29 |   6568 |        1 |     49 |   1877 |      0 |        0 | (0,29)  |           4 |       2306 |     24 |        |        
  30 |   6512 |        1 |     49 |   1877 |      0 |        0 | (0,30)  |           4 |       2306 |     24 |        |        
  31 |   6456 |        1 |     49 |   1877 |      0 |        0 | (0,31)  |           4 |       2306 |     24 |        |        
  32 |   6400 |        1 |     49 |   1877 |      0 |        0 | (0,32)  |           4 |       2306 |     24 |        |        
  33 |   6344 |        1 |     49 |   1877 |      0 |        0 | (0,33)  |           4 |       2306 |     24 |        |        
  34 |   6288 |        1 |     49 |   1877 |      0 |        0 | (0,34)  |           4 |       2306 |     24 |        |        
  35 |   6232 |        1 |     49 |   1877 |      0 |        0 | (0,35)  |           4 |       2306 |     24 |        |        
  36 |   6176 |        1 |     49 |   1877 |      0 |        0 | (0,36)  |           4 |       2306 |     24 |        |        
  37 |   6120 |        1 |     49 |   1877 |      0 |        0 | (0,37)  |           4 |       2306 |     24 |        |        
  38 |   6064 |        1 |     49 |   1877 |      0 |        0 | (0,38)  |           4 |       2306 |     24 |        |        
  39 |   6008 |        1 |     49 |   1877 |      0 |        0 | (0,39)  |           4 |       2306 |     24 |        |        
  40 |   5952 |        1 |     49 |   1877 |      0 |        0 | (0,40)  |           4 |       2306 |     24 |        |        
  41 |   5896 |        1 |     49 |   1877 |      0 |        0 | (0,41)  |           4 |       2306 |     24 |        |        
  42 |   5840 |        1 |     49 |   1877 |      0 |        0 | (0,42)  |           4 |       2306 |     24 |        |        
