# G0010: Turla
## Description
Turla, a Russia-based threat group (also known as [G0010](https://attack.mitre.org/groups/G0010)), has been active since 2004 and has targeted victims in over 45 countries. The group primarily focuses on government, embassy, military, educational, research, and pharmaceutical organizations. Notably, Turla's activity peaked in mid-2015. The group is known for employing sophisticated tactics such as watering hole attacks and spearphishing campaigns, and they use a variety of in-house tools and malware. While their primary espionage platform targets Windows machines, Turla has also been observed targeting macOS and Linux systems. (Citation: Kaspersky Turla) (Citation: ESET Gazer Aug 2017) (Citation: CrowdStrike VENOMOUS BEAR) (Citation: ESET Turla Mosquito Jan 2018)

## Tactics, Techniques, and Procedures (TTPs)
| Platform | Tactic | Technique | Description | Data Sources |
| --- | --- | --- | --- | --- |
| Linux, macOS, Windows | Exfiltration | [Data Encrypted](https://attack.mitre.org/techniques/T1022/) | Turla encrypts files stolen from connected USB drives into a RAR file before exfiltration. | File monitoring, Process monitoring, Process command-line parameters, Binary file metadata |
| Linux, macOS, Windows | Exfiltration | [Exfiltration Over Alternative Protocol](https://attack.mitre.org/techniques/T1048/) | Turla uses WebDAV to upload stolen USB files to a cloud drive. | User interface, Process monitoring, Process use of network, Packet capture, Netflow/Enclave netflow, Network protocol analysis |
| Linux, macOS, Windows | Defense Evasion, Execution | [Scripting](https://attack.mitre.org/techniques/T1064/) | Turla employs PowerShell and VBS scripts throughout its operations. | Process monitoring, File monitoring, Process command-line parameters |
| Linux, macOS, Windows, AWS, GCP, Azure | Credential Access | [Credentials in Files](https://attack.mitre.org/techniques/T1081/) | Turla gathers credentials from the Windows Credential Manager tool. | File monitoring, Process command-line parameters |
| Linux, macOS, Windows | Execution | [Command-Line Interface](https://attack.mitre.org/techniques/T1059/) | Turla RPC backdoors use `cmd.exe` to execute commands. | Process monitoring, Process command-line parameters |
| Linux, macOS, Windows, GCP, AWS, Azure | Collection | [Data from Local System](https://attack.mitre.org/techniques/T1005/) | Turla RPC backdoors can upload files from victim machines. | File monitoring, Process monitoring, Process command-line parameters |
| Windows | Defense Evasion, Privilege Escalation | [Access Token Manipulation](https://attack.mitre.org/techniques/T1134/) | Turla RPC backdoors can impersonate or steal process tokens before executing commands. | API monitoring, Access tokens, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | Collection | [Data from Removable Media](https://attack.mitre.org/techniques/T1025/) | Turla RPC backdoors can collect files from USB thumb drives. | File monitoring, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | Command and Control, Defense Evasion | [Connection Proxy](https://attack.mitre.org/techniques/T1090/) | Turla RPC backdoors include local UPnP RPC proxies. | Process use of network, Process monitoring, Netflow/Enclave netflow, Packet capture |
| Windows | Defense Evasion | [Deobfuscate/Decode Files or Information](https://attack.mitre.org/techniques/T1140/) | Turla uses a custom decryption routine, which pulls key and salt values from other artifacts such as a WMI filter or [PowerShell Profile](https://attack.mitre.org/techniques/T1504), to decode encrypted PowerShell payloads. | File monitoring, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | Defense Evasion | [Disabling Security Tools](https://attack.mitre.org/techniques/T1089/) | Turla uses an AMSI bypass, which patches the in-memory `amsi.dll`, in PowerShell scripts to evade Windows antimalware products. | API monitoring, File monitoring, Services, Windows Registry, Process command-line parameters, Anti-virus |
| Windows | Execution | [Execution through API](https://attack.mitre.org/techniques/T1106/) | Turla and its RPC backdoors use API calls for various tasks related to subverting AMSI and accessing then executing commands through RPC and/or named pipes. | API monitoring, Process monitoring |
| Windows | Persistence | [Windows Management Instrumentation Event Subscription](https://attack.mitre.org/techniques/T1084/) | Turla uses WMI event filters and consumers to establish persistence. | WMI Objects |
| Linux, macOS, Windows | Defense Evasion | [Obfuscated Files or Information](https://attack.mitre.org/techniques/T1027/) | Turla uses encryption (including salted 3DES via [PowerSploit](https://attack.mitre.org/software/S0194)'s Out-EncryptedScript.ps1), random variable names, and base64 encoding to obfuscate PowerShell commands and payloads. | Network protocol analysis, Process use of network, File monitoring, Malware reverse engineering, Binary file metadata, Process command-line parameters, Environment variable, Process monitoring, Windows event logs, Network intrusion detection system, Email gateway, SSL/TLS inspection |

This revised version aims to provide a more structured and professional presentation of the information, with clear and concise descriptions and a consistent format.
