版权所有 © 华为技术有限公司
CX110&CX31x系列 交换模块
日志参考 目 录
21 GRESM......................................................................................................................................151
21.1 GRESM/6/AGING_RES..........................................................................................................................................152
21.2 GRESM/6/ALLOC_FREE_RES..............................................................................................................................152
21.3 GRESM/6/APP_RES_TIMES..................................................................................................................................153
21.4 GRESM/6/GRESM_FSMTIMER_LOG..................................................................................................................154
21.5 GRESM/6/PEER_STATE_CHG..............................................................................................................................154
21.6 GRESM/6/RCV_ERR_MSG....................................................................................................................................155
21.7 GRESM/6/RES_CONFICT......................................................................................................................................156
21.8 GRESM/6/SEND_MSG_OVERTIME.....................................................................................................................157
21.9 GRESM/6/SMTH_SEQ_ERR..................................................................................................................................157
22 HAF............................................................................................................................................159
22.1 HAF/4/DEBUG_CPUOVERLOAD........................................................................................................................160
22.2 HAF/5/DBG_ASSERT.............................................................................................................................................160
22.3 HAF/5/DBG_DOPR_RUNLOG..............................................................................................................................161
22.4 HAF/5/DBG_EXCEPTION.....................................................................................................................................161
22.5 HAF/4/DEBUG_MEMOVERLOAD.......................................................................................................................162
22.6 HAF/5/HAF_SWITCH_FAIL..................................................................................................................................163
22.7 HAF/2/HAF_SWITCH_SUCCESS.........................................................................................................................163
22.8 HAF/4/MEMOVLOAD_FAULT.............................................................................................................................164
22.9 HAF/4/DEBUG_SLOTMEMOVLOAD..................................................................................................................165
22.10 HAF/4/SYS_RELOAD_ACTION.........................................................................................................................165
22.11 HAF/4/VFM_FLHSYNC_FAIL.............................................................................................................................166
22.12 HAF/4/VFM_FLHSYNC_SUCCESS....................................................................................................................167
23 HWTACACS.............................................................................................................................168
23.1 HWTACACS/5/SERVER_DOWN..........................................................................................................................169
24 IFMTRUNK..............................................................................................................................170
24.1 IFMTRUNK/5/TRUNK_MEM_NUMBER_CHANGE..........................................................................................171
25 IFNET.........................................................................................................................................172
25.1 IFNET/2/linkdown_active........................................................................................................................................173
25.2 IFNET/2/linkdown_clear..........................................................................................................................................178
26 IM................................................................................................................................................179
26.1 INFO/6/IM_SUPPRESS_LOG................................................................................................................................180
26.2 INFO/6/IM_UNDOINFOENABLE_LOG...............................................................................................................180
27 IGMP..........................................................................................................................................182
27.1 IGMP/6/ERR_VER_PKT_IGMP.............................................................................................................................183
28 ISIS.............................................................................................................................................184
28.1 ISISCOMM/3/IS_ADD_NEIGHBOR_TLV_FAILURE.........................................................................................186
28.2 ISISCOMM/5/IS_ADJ_CHANGE...........................................................................................................................186
28.3 ISISCOMM/3/IS_CFG_ERR...................................................................................................................................188
28.4 ISISCOMM/3/IS_CFG_MID_RSP_RETRANS_OVERTIME...............................................................................189
文档版本 09 (2017-09-04) 华为专有和保密信息 x
版权所有 © 华为技术有限公司
CX110&CX31x系列 交换模块
日志参考 目 录
28.5 ISISCOMM/5/IS_DELAY_IIH................................................................................................................................190
28.6 ISISCOMM/4/IS_FIND_SOCKENTRY_BY_IF....................................................................................................191
28.7 ISISCOMM/4/IS_FIND_SOCKENTRY_BY_PIPEID............................................................................................191
28.8 ISISCOMM/4/IS_FIND_SOCKENTRY_BY_SERVICEID...................................................................................192
28.9 ISISCOMM/5/IS_IID_SMOOTH............................................................................................................................193
28.10 ISISCOMM/5/IS_IID_WITHDRAWN..................................................................................................................193
28.11 ISISCOMM/6/IS_LOCAL_SYS_IS_DIS..............................................................................................................194
28.12 ISISCOMM/3/IS_LOG_CFG_BUSY....................................................................................................................194
