**目标公司产品负责人访谈提纲**

**访谈时间**：
**访谈地点**：
**访谈对象**：产品负责人

### 工作背景
1. **过往工作经历及主要职责**
   - 2008年毕业后，加入世纪互联CDN事业部，从事运维和部分运维开发工作。
   - 2010年，担任中华网运维主管，负责运维体系的规划设计与建设。
   - 2012年，在人人公司网络运营部担任高级开发工程师，负责人人网、人人游戏的自建CDN和DevOps平台的开发维护。在此期间，编写了《网站运维技术与实践》一书，该书已重印七次。
   - 2014年，加入新浪微博研发中心担任系统架构师，后带领移动端技术保障团队，负责新浪微博、新浪新闻、新浪天气等各移动端接口层的SRE工作。重构了基于ELK和Rsyslog的日志管理体系，以及基于Zabbix和日志流式分析的业务监控体系。设计了SLA数据分析系统，并开发和开源了基于Nginx和Lua的用户热分流方案。期间编写了《ELK Stack权威指南》并再版发行，还合译了《Puppet实战手册》。

2. **加入公司的原因及时间**
   - 2015年，随着微博的ELK体系基本完善和稳定，协助组织了三次ELK在中国的用户会议，并在WOT等十余场技术会议上分享了业界最早的TB级ELK集群相关经验。感受到对这一领域的浓厚兴趣，希望有一个更专业的研发团队来支持进一步的研究和发展，最终选择加入日志易团队。

### 产业情况
3. **2019-2021年间国内各行业日志量变化趋势及其主要应用场景的发展方向**
   - 近三年，伴随互联网行业的快速发展，运营商和金融企业的业务规模不断扩大，导致日志量显著增加。为适应用户需求，这些企业的新业务普遍采用新一代开发架构，广泛引入微服务，使得一笔业务可能分散在多个节点上执行，给日志串联分析带来挑战。此外，由于开源软件的广泛应用，业务研发人员难以全面掌握所有日志输出细节，这提高了快速定位问题的要求。
   - 另一方面，根据网络安全法和数据安全法的规定，各行业更加重视网络设备和安全设备的日志记录，以确保能够追溯和归档重要信息。过去仅记录较高级别的危险事件日志，现在则扩大了日志记录范围，并延长了保留时间，以便于紧急事件的排查。

4. **与ELK架构相比，日志易产品的适配效果及统一管控平台的重要性**
   - 在数据分析中，对海量分组数据进行统计时，需要多个产品模块之间联动调整设置才能达到精准有效的结果。日志易的统一管控平台可以自动发现和依赖各个模块，避免了ELK套件分别维护可能导致的人工错误。
   - 此外，统一管控平台还能提供产品自身的监控告警功能，在应对突发高峰等情况时，通过自动流控实现自我保护机制。

5. **特定功能（如动态抽取字段、搜索时的数据结构化处理等）在不同场景下的意义及日志易对此类功能的重视程度**
   - 动态抽取字段和数据结构化处理对于那些经常变更分析需求或存储资源有限的情况非常有用，可显著降低总体资源消耗。对于主要用于审计且日常统计频率较低的日志类型，推荐使用上述功能以节省能耗。同时，日志易还推出了查询历史分析、数据存储效率分析等功能，帮助用户更好地理解其数据环境，并做出合适的提取策略决策。
   - 搜索结果评分机制主要适用于文档类知识检索场景；而当前日志易的应用场景多依据时间顺序排列，尚未有引入评分机制的需求。
   - 应用关联功能在权限管理、应用性能监测以及可观测性工程方面具有重要作用。日志易通过静态配置和第三方集成等方式实现了日志与应用程序之间的权限关联，并在可观测性产品中采用了动态标签关联技术来支持跨组件的数据分析。
   - 安全可视化作为展示安全大数据分析成果的关键手段，在SOC（安全运营中心）中发挥着至关重要的作用，包括但不限于资产态势、攻击路径等信息的图形表示，有助于企业真正实现态势感知能力。日志易提供了与资产、漏洞、威胁情报系统的对接接口，并利用其实时关联分析能力生成3D地图、桑基图等多种形式的安全可视化报告模板，支持用户定制化扩展。

6. **对未来日志运维行业发展前景的看法，特别是智能日志分析、智能运维服务、数据可视化等领域的关系**
   - 日志始终是IT业务中最直接也是最详细的记录载体。无论是用于数据分析、人工智能还是安全审计等方面，都是基于原始日志数据之上构建起来的应用场景。虽然不同细分市场之间可能存在某些共通之处，但各自侧重引入的数据源有所不同。例如，在智能运维领域，异常检测可能只需复用现有日志即可完成，但在进行故障自愈或容量规划时，则需结合自动化运维工具及其他平台提供的数据共同完成任务；同样地，在安全领域，简单的态势感知或许可以通过安全设备日志来实现，但要实现全面的数据安全态势感知，则还需整合元数据等额外信息源。

7. **公司在云原生业务方面的考虑因素及其未来发展前景**
   - 技术层面来看，云原生已经成为当前的一大发展趋势，许多客户正在积极尝试向云原生转型。日志易已成功加入CNCF landscape全景图，并持续关注该领域最新进展。目前我们已经推出了针对Docker容器环境、Kubernetes容器编排系统、Prometheus指标采集以及Zipkin/Jaeger/SkyWalking调用链追踪等多种解决方案，并为Grafana提供了专用插件。作为信通院云原生可观测性标准工作组成员之一，我们也正积极参与制定相关行业标准。考虑到越来越多的企业将转向云原生架构，预计日志易所提供的可观测性方案将拥有广阔的发展空间。
   - 市场层面而言，早在2014年初创阶段，我们就已经推出了SaaS版本的产品，并参与了阿里云、腾讯云等多个云应用市场的推广活动。尽管如此，现阶段公有云市场仍不够成熟，积累起来的SaaS用户转化为付费客户的难度较大。因此，我们为平安云、中信云等客户提供过私有云SaaS服务，这可能是当前国情下更为可行的选择。无论是在公有云还是私有云环境下，日志易都能够提供兼容性的解决方案，未来将根据市场需求灵活调整发展方向。

### 部门管理
8. **2019-2021年期间产品部门员工稳定性如何？公司采取哪些措施确保离职人员不会对公司业务造成负面影响？**
   - 在过去三年里，产品部门整体保持了较高的人员稳定性。为了保证即使发生人员流动也不会影响到正常运营，我们实施了一系列措施，比如建立完善的文档管理制度、加强内部培训体系以及定期开展团队建设活动等，从而确保知识传承和个人技能得到及时更新。
