以下是经过优化的文本，使其更加清晰、连贯和专业：

---

### 通知类型及描述

1. **ciscoLwappExtAdjChannelOverRssiRemoved**
   - 当检测到相邻信道上的接入点（AP）并随后从网络中移除时，生成此通知。

2. **ciscoLwappExtCurrentChannelOverRssiDetected**
   - 当在当前信道上检测到AP时，生成此通知。

3. **ciscoLwappExtCurrentChannelOverRssiRemoved**
   - 当在当前信道上检测到AP并随后从网络中移除时，生成此通知。

4. **ciscoLwappExtClientOverRssiDetected**
   - 当客户端的RSSI超过配置阈值时，生成此通知。通知中包含AP和客户端的详细信息。

5. **ciscoLwappExtClientOverRssiRemoved**
   - 当RSSI超过配置阈值的客户端从网络中移除时，生成此通知。通知中包含AP和客户端的详细信息。

6. **ciscoLwappApIfRegulatoryDomainMismatchNotif**
   - 当AP无线电的监管域与控制器配置的国家不匹配时，生成此通知。由于不匹配，AP将无法与控制器关联。

7. **ciscoLwappApCrash**
   - 当AP崩溃后重新加入控制器时，生成此通知。一旦AP加入，控制器将从AP获取崩溃文件并发送此通知。

8. **ciscoLwappApUnsupported**
   - 当不受支持的AP尝试加入控制器时，生成此通知。

9. **ciscoLwappApAssociated**
   - 当AP成功加入控制器时，生成此通知。通知中包含AP上次重启的原因和数据加密状态的信息。

10. **ciscoLwappApPower**
    - 当AP检测到以太网供电不足时，生成此通知。

11. **ciscoLwappApRogueApDetected**
    - 当检测到恶意AP时，生成此通知。

12. **ciscoLwappApRogueApCleared**
    - 当检测到恶意AP并随后从网络中移除时，生成此通知。

13. **ciscoLwappApWipsNotification**
    - 当控制器检测到WIPS事件时，生成此通知。

14. **ciscoLwappApNoDownlinkChannelNotify**
    - 当AP无法找到新的下行链路信道时，生成此通知。

15. **ciscoLwappApIfUpNotify**
    - 当AP接口的操作状态变为上线时，生成此通知。

16. **ciscoLwappApIfDownNotify**
    - 当AP接口的操作状态变为离线时，生成此通知。

17. **ciscoLwappApClientThresholdNotify**
    - 当AP的无线接口上的客户端数量超过`cLRFProfileHDClientTrapThreshold`定义的限制时，生成此通知。

18. **ciscoLwappApUpgradeFailureNotify**
    - 当AP镜像升级失败时，生成此通知。

19. **ciscoLwappApCpuUsageHigh**
    - 当AP检测到其CPU使用率高于`clsSysApCpuUsageThreshold`配置的阈值，并且`cLApAlarmSet`设置为`true`时，生成此通知。当AP的CPU使用率低于阈值时，`cLApAlarmSet`设置为`false`并生成此通知。

20. **ciscoLwappApMemoryUsageHigh**
    - 当AP检测到其内存使用率高于`clsSysApMemoryUsageThreshold`配置的阈值，并且`cLApAlarmSet`设置为`true`时，生成此通知。当AP的内存使用率低于阈值时，`cLApAlarmSet`设置为`false`并生成此通知。

21. **ciscoLwappApMaxClientLimitNotify**
    - 当最大客户端限制达到或清除时，生成此通知。

22. **ciscoLwappApAdjChannelRogueDetected**
    - 当在相邻信道上检测到恶意AP时，生成此通知。

23. **ciscoLwappApAdjChannelRogueCleared**
    - 当在相邻信道上检测到恶意AP并随后从网络中移除时，生成此通知。

24. **ciscoLwappApRogueDetected**
    - 当在同一信道上检测到恶意AP时，生成此通知。

25. **ciscoLwappApCurrentChannelRogueDetected**
    - 当在当前信道上检测到恶意AP时，生成此通知。

26. **ciscoLwappApCurrentChannelRogueCleared**
    - 当在当前信道上检测到恶意AP并随后从网络中移除时，生成此通知。

27. **ciscoLwappApMonitorModeChangeNotify**
    - 当AP监控模式发生变化时，生成此通知。

28. **ciscoLwappApAcTimeSyncFailureTrap**
    - 当AP与控制器之间的心跳丢失或连接中断时，生成此通知。

29. **ciscoLwappApSsidKeyConflict**
    - 当同一AP上的两个SSID具有相同的密钥时，生成此通知。

30. **ciscoLwappApCurrChannelChanged**
    - 当信道通过自动或自定义方式更改时，生成此通知。

31. **ciscoLwappApCapwapRetransmissionQueueFullEvent**
    - 当AP的CAPWAP重传队列已满时，生成此通知。

32. **ciscoLwappApSystemBootupEvent**
    - 当AP启动时，生成此通知。

33. **ciscoLwappXmFilterCheckWarning**
    - 当共存过滤器不存在时，生成此通知。

34. **ciscoLwappApModeUnsupportedOnFlexExpressEvent**
    - 当不支持模式的AP尝试加入FlexExpress WLC或虚拟WLC时，生成此通知。

35. **ciscoLwappApXorRadioRoleChangeNotify**
    - 当AP的XOR无线电角色发生变化时，生成此通知。

36. **ciscoLwappRadioBandChangeNotify**
    - 当AP的XOR无线电带宽发生变化时，生成此通知。

37. **ciscoLwappNewMasterDueToFailover**
    - 当AP在前一个ME控制器故障切换后成为新的ME控制器时，生成此通知。

38. **clCSNASensorNotReachableDevStatus**
    - 当设备状态不符合智能许可要求时，生成此对象以发送陷阱。

39. **clCSSecTunStateChange**
    - 当安全隧道状态发生变化时，生成此对象以发送状态变化。

40. **ciscoLwappDhcpScopeAddressExhaust**
    - 当DHCP范围没有可用IP地址时，`cLDhcpTrapSet`设置为`true`并生成此通知。当客户端释放IP地址时，`cLDhcpTrapSet`设置为`false`并生成此通知。

41. **cldccDiagClientAssociatedToDiagWlan**
    - 当客户端与诊断WLAN关联时，生成此通知。

42. **ciscoLwappDot11ClientKeyDecryptError**
    - 当解密错误发生时，生成此通知。可能的原因是客户端配置的WEP、WPA或WPA2密钥错误。通知中包含关联模式、AP MAC地址、客户端无线接口类型和AP名称。

43. **ciscoLwappDot11ClientAssocNacAlert**
    - 当NAC启用的SSID上的客户端完成第二层认证时，生成此通知。通知中包含WLAN配置文件名、客户端IP地址、AP MAC地址、隔离VLAN和访问VLAN。

44. **ciscoLwappDot11ClientDisassocNacAlert**
    - 当控制器移除NAC启用的SSID上的客户端条目时，生成此通知。通知中包含WLAN配置文件名、客户端IP地址、AP MAC地址、隔离VLAN和访问VLAN。

45. **ciscoLwappDot11ClientMovedToRunState**
    - 当客户端完成PEM状态并移动到运行状态时，生成此通知。通知中包含客户端用户名、IP地址、SSID、AP MAC地址、AP插槽ID和AP名称。

46. **ciscoLwappDot11ClientStaticIpFailTrap**
    - 当客户端静态IP的子网未找到时，生成此通知。

47. **ciscoLwappDot11ClientDisassocDataStatsTrap**
    - 当站点发送解除关联帧时，生成此通知。通知中包含MAC地址和解除关联的原因。

48. **ciscoLwappDot11ClientAssocDataStatsTrap**
    - 当站点发送关联帧时，生成此通知。

49. **ciscoLwappDot11ClientSessionTrap**
    - 当客户端完成PEM状态并移动到运行状态时，生成此通知。

50. **ciscoLwappDot11ClientAssocTrap**
    - 当站点与控制器关联时，生成此通知。

51. **ciscoLwappDot11ClientDeAuthenticatedTrap**
    - 当站点被取消认证时，生成此通知。

52. **ciscoLwappDot11ClientMovedToRunStateNewTrap**
    - 当站点移动到运行或认证状态时，生成此通知。

53. **ciscoLwappDot11ClientMobilityTrap**
    - 当站点漫游时，生成此通知。

54. **ciscoLwappDot11CountryChangeNotif**
    - 当管理员更改802.11网络的操作国家时，由控制器生成此通知。新国家代码将在通知中发送。

55. **cldlScheduledResetNotif**
    - 在无线局域网控制器（WLC）按`cldlResetAlertTime`指定的时间重置之前，生成此通知。

56. **cldlResetFailedNotif**
    - 当控制器未能按计划重置时，生成此通知。

57. **cldlClearResetNotif**
    - 当从表`cldlReasetTable`中删除重置条目时，生成此通知。

58. **cLFabricMapRequestNotify**
    - 当WLC向织物网络中的映射服务器发送AP映射请求时，生成此陷阱。

59. **cLFabricMapResponseNotify**
    - 当WLC向织物网络中的映射服务器发送AP映射响应时，生成此陷阱。

60. **cLFabricRegistrationReqNotify**
    - 当WLC向映射服务器发送织物客户端注册请求时，生成此陷阱。

61. **cLFabricDeRegistrationReqNotify**
    - 当WLC向映射服务器发送织物客户端注销请求时，生成此陷阱。

62. **cLHaSecondaryControllerUsageTrap**
    - 当活动单元和对等单元之间发生通用故障时，生成此通知。

63. **cLHaRFSwapInfoTrap**
    - 当活动冗余单元的RF状态变化或对等单元的RF状态变化时，由活动冗余单元生成此通知。为了避免所有状态转换的通知泛滥，仅在以下RF状态转换时发送通知：禁用（对等状态）、备用冷、备用热、活动、额外负载。

64. **cLHaBulkSyncCompleteTrap**
    - 当活动冗余单元完成与对等单元的大容量同步时，生成此通知。

65. **cLHaPeerHotStandbyTrap**
    - 当活动冗余单元的对等单元变为热备份时，生成此通知。

66. **ciscoLwappIdsShunClientUpdate**
    - 当代理添加行到`cLIdsClientExclTable`且`cLIdsClientTimeRemaining`大于0时，生成此通知。当代理从`cLIdsClientExclTable`中移除行且`cLIdsClientTimeRemaining`等于0时，也生成此通知。

67. **ciscoLwappInterfaceAddressChanged**
    - 当接口地址更改后，生成此通知。

68. **ciscoLwappInterfaceIpv6AddressStatus**
    - 当IPv6地址更改后，生成此通知。

69. **ciscoLwappMeshBatteryAlarm**
    - 当`clMeshNodeBatteryStatus`的值从“正常”更改为异常值（“过载”、“低电”、“交流电源故障”、“更换”、“缺失”）时，生成此通知。

70. **ciscoLwappMeshAuthFailure**
    - 当认证失败次数超过`clMeshMeshNodeAuthFailureThreshold`定义的阈值时，生成此通知。如果网格节点的MAC地址不在MAC过滤列表中或认证服务器的安全性失败，则网格节点可能无法认证。原因由`clMeshAuthFailureReason`指定。

71. **ciscoLwappMeshChildExcludedParent**
    - 当子网格节点超过`clMeshMeshChildAssociationFailuresThreshold`定义的发现响应超时次数阈值时，生成此通知。子网格节点将在`clMeshMeshChildExcludedParentInterval`定义的时间间隔内不会尝试与排除的父网格节点关联。子网格节点会记住排除的父节点MAC地址，并在网络中加入时通知控制器。`cLApName`指定子网格节点名称。子节点MAC地址作为索引的一部分发送。`clMeshChildExcludedParentNotifEnabled`控制此通知的生成。

72. **ciscoLwappMeshParentChange**
    - 当子网格节点更改其父节点时，生成此通知。子网格节点会记住其之前的父节点，并在网络中加入时通知控制器其父节点的变化。`cLApName`指定子网格节点名称。子网格节点MAC地址作为索引的一部分发送。`clMeshParentChangeNotifEnabled`控制此通知的生成。

73. **ciscoLwappMeshChildMoved**
    - 当父网格节点与其子网格节点失去连接时，生成此通知。`cLApName`指定父网格节点名称。父节点和子节点MAC地址作为索引的一部分发送。`clMeshChildMovedNotifEnabled`控制此通知的生成。

74. **ciscoLwappMeshExcessiveParentChange**
    - 当子网格节点频繁更改其父节点时，生成此通知。每个网格节点在固定时间内记录父节点更改的次数。如果超过`clMeshExcessiveParentChangeThreshold`定义的阈值，则子网格节点会通知控制器。`cLApName`指定子网格节点名称。子节点和父节点MAC地址作为索引的一部分发送。`clMeshExcessiveParentChangeNotifEnabled`控制此通知的生成。

75. **ciscoLwappMeshOnsetSNR**
    - 当子网格节点检测到回程链路上的SNR低于`clMeshSNRThresholdOnset`定义的阈值时，生成此通知。SNR值在`clMeshSNRCheckTimeInterval`定义的时间间隔后进行检查。`ciscoLwappMeshAbateSNR`通知将用于清除此通知。`cLApName`指定子网格节点名称。子节点和父节点MAC地址作为索引的一部分发送。`clMeshPoorSNRNotifEnabled`控制此通知的生成。

76. **ciscoLwappMeshAbateSNR**
    - 当子网格节点检测到回程链路上的SNR高于`clMeshSNRThresholdAbate`定义的阈值时，生成此通知以清除`ciscoLwappMeshOnsetSNR`通知。SNR值在`clMeshSNRCheckTimeInterval`定义的时间间隔后进行检查。`cLApName`指定子网格节点名称。子节点和父节点MAC地址作为索引的一部分发送。`clMeshPoorSNRNotifEnabled`控制此通知的生成。

77. **ciscoLwappMeshConsoleLogin**
    - 当MAP控制台登录成功或连续三次失败时，生成此通知。`cLApName`指定网格节点名称。`clMeshConsoleLoginNotifEnabled`控制此通知的生成。

78. **ciscoLwappMeshDefaultBridgeGroupName**
    - 当MAP网格节点使用默认桥接组名称加入父节点时，生成此通知。子节点MAC地址作为`cLApName`索引的一部分发送。

79. **ciscoLwappMeshExcessiveHopCount**
    - 当MAP节点到RAP的跳数超过`clMeshExcessiveHopCountThreshold`定义的阈值时，生成此通知。MAP MAC地址作为索引的一部分发送。这些警报每三分钟触发一次，这是AP向WLC发送统计信息的周期。

80. **ciscoLwappMeshExcessiveChildren**
    - 当子节点数超过RAP的`clMeshExcessiveRapChildThreshold`和MAP的`clMeshExcessiveMapChildThreshold`时，生成此通知。节点MAC地址作为索引的一部分发送。这些警报每三分钟触发一次，这是AP向WLC发送统计信息的周期。

81. **ciscoLwappMeshOnsetHighSNR**
    - 当子网格节点检测到回程链路上的SNR高于`clMeshHighSNRThresholdOnset`定义的阈值时，生成此通知。SNR值在`clMeshSNRCheckTimeInterval`定义的时间间隔后进行检查。`ciscoLwappMeshAbateHighSNR`通知将用于清除此通知。`cLApName`指定子网格节点名称。子节点和父节点MAC地址作为索引的一部分发送。`clMeshHighSNRNotifEnabled`控制此通知的生成。这些警报每三分钟触发一次，这是AP向WLC发送统计信息的周期。

82. **ciscoLwappMeshAbateHighSNR**
    - 当子网格节点检测到回程链路上的SNR低于`clMeshHighSNRThresholdAbate`定义的阈值时，生成此通知以清除`ciscoLwappMeshOnsetSNR`通知。SNR值在`clMeshSNRCheckTimeInterval`定义的时间间隔后进行检查。`clMeshNeighborLinkSnr`表示此网格节点从邻居网格节点看到的SNR值。`cLApName`指定子网格节点名称。子节点和父节点MAC地址作为索引的一部分发送。`clMeshHighSNRNotifEnabled`控制此通知的生成。

83. **ciscoLwappMeshTemperatureStateChange**
    - 当网格AP的温度状态发生变化时，生成此通知。

84. **ciscoLwappMeshPskKeyAuthFailure**
    - 当网格节点因PSK密钥问题无法加入控制器时，生成此通知。

85. **ciscoLwappMeshQueueOverflow**
    - 当队列溢出导致数据包丢失时，生成此通知。每个时间间隔（由`clMeshNodeStatsTimeInterval`定义），网格节点将其队列统计信息发送给控制器，其中包括累计丢弃的数据包数（由`clMeshNodePktQueuePktsDropped`定义）。如果丢弃的数据包数高于上次通知生成时的数量，则触发此通知。

86. **ciscoLwappMeshExcessiveAssociation**
    - 当父网格节点上的累计关联计数超过`clMeshNodeExcessiveAssociationThreshold`配置的值时，生成此通知。`cLApName`是父网格节点的名称。

87. **ciscoLwappMeshSecBackhaulChange**
    - 当由`clApName`标识的MAP发起从主回程到次回程的更改时，生成此通知。`clApName`标识接收更改的AP。发起AP的MAC地址作为`clMeshNodeBackhaul`索引的一部分发送。`clMeshNodeBackhaul`标识使用的次回程信道。接收AP的MAC地址作为`cLApName`索引的一部分发送。

88. **ciscoLwappMeshRadioRoleChange**
    - 当网格无线电角色设置或取消设置时，生成此通知。

---

希望这些优化后的描述能够帮助您更好地理解和使用这些通知。
