8.2 缓冲技术
8.2.1 缓冲概述
8.2.2 双缓冲
*
 8.2.3 缓冲池
8.3 设备分配
8.3.1 设备分配原则
8.3.2 独享分配
8.3.3 共享分配
8.3.4 虚拟分配
8.4 输入／输出控制
8.4.1 I/O硬件
8.4.2 输入／输出控制方式
8.4.3 I/O子系统
8.4.4 I/O控制的例
8.5 UNIX系统的设备管理
8.5.1 UNIX系统设备管理的特点
8.5.2 UNIX系统设备驱动程序的接口
8.5.3 UNIX缓冲区的管理
8.5.4 UNIX的设备I/O控制
习题8
第9章 文件系统
9.1 文件系统的概念
9.1.1 引言
9.1.2 文件
9.1.3 文件系统
9.2 文件的逻辑组织与存取方法
9.2.1 文件的组织
9.2.2 文件的逻辑结构和存取方法
9.3 文件的物理结构
9.3.1 连续文件
9.3.2 串联文件
9.3.3 随机文件
9.3.4 索引文件
9.3.5 文件物理结构比较
*
 9.4 文件存储空间的管理
9.4.1 空闲文件目录
9.4.2 空闲块链
9.4.3 位示图
9.4.4 分配策略
9.5 文件目录
9.5.1 文件目录及其内容
9.5.2 一级文件目录
9.5.3 二级文件目录
9.5.4 多级文件目录
9.6 共享与安全
9.6.1 文件共享与安全性的关系
9.6.2 建立当前目录实现文件共享
9.6.3 采用链接技术实现文件共享
9.6.4 存取权限的类型及其验证方法
9.7 文件操作与文件备份
9.7.1 文件操作
9.7.2 文件的备份
9.8 UNIX文件系统的主要结构及实现
9.8.1 UNIX文件系统的特点
9.8.2 索引节点
9.8.3 文件索引结构
9.8.4 文件目录结构
*
 9.8.5 打开文件管理机构
*
 9.8.6 文件存储器空闲块的管理
*
 9.8.7 UNIX文件系统调用
习题9
第10章 分布式系统
10.1 分布式系统引论
10.1.1 分布式系统产生的原因
10.1.2 适合分布式处理的计算机体系结构
10.1.3 分布式系统的定义及特征
10.2 分布式系统体系结构模型和服务模型
10.2.1 分布式系统结构及性能评价
10.2.2 分布式系统体系结构模型
10.2.3 分布式系统的对象模型
10.3 分布式系统的资源管理
10.3.1 资源管理模型
