182.135.162.77 - - [12/Jun/2017:18:14:50 +0800] "HEAD /www.rar HTTP/1.1" 404 0 "-" "Mozilla/4.0 (compatible; Win32; WinHttp.WinHttpRequest.5)" "-" 0.000 -
182.135.162.77 - - [12/Jun/2017:18:14:51 +0800] "HEAD /www.zip HTTP/1.1" 404 0 "-" "Mozilla/4.0 (compatible; Win32; WinHttp.WinHttpRequest.5)" "-" 0.000 -
182.135.162.77 - - [12/Jun/2017:18:14:51 +0800] "HEAD /web.rar HTTP/1.1" 404 0 "-" "Mozilla/4.0 (compatible; Win32; WinHttp.WinHttpRequest.5)" "-" 0.000 -
182.135.162.77 - - [12/Jun/2017:18:14:51 +0800] "HEAD /web.zip HTTP/1.1" 404 0 "-" "Mozilla/4.0 (compatible; Win32; WinHttp.WinHttpRequest.5)" "-" 0.000 -
222.128.29.229 - - [12/Jun/2017:18:15:48 +0800] "GET / HTTP/1.1" 303 5 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/603.2.5 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.5" "-" 0.002 0.002
222.128.29.229 - - [12/Jun/2017:18:15:48 +0800] "GET /login HTTP/1.1" 200 598 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/603.2.5 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.5" "-" 0.002 0.002
222.128.29.229 - - [12/Jun/2017:18:15:48 +0800] "GET /static/assets/react/react.js?v=1496375275700?v=1496372401978?v=1496371615686 HTTP/1.1" 200 571784 "https://license.rizhiyi.com/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/603.2.5 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.5" "-" 0.185 0.003
222.128.29.229 - - [12/Jun/2017:18:15:49 +0800] "GET /static/assets/materialize/font/roboto/Roboto-Light.ttf HTTP/1.1" 200 126792 "https://license.rizhiyi.com/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/603.2.5 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.5" "-" 0.002 0.002
222.128.29.229 - - [12/Jun/2017:18:15:53 +0800] "POST /login HTTP/1.1" 200 27 "https://license.rizhiyi.com/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/603.2.5 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.5" "-" 0.004 0.004
222.128.29.229 - - [12/Jun/2017:18:15:53 +0800] "GET / HTTP/1.1" 200 554 "https://license.rizhiyi.com/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/603.2.5 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.5" "-" 0.002 0.002
106.75.53.61 - yottabyte [12/Jun/2017:18:15:53 +0800] "GET /report/getLicenseInfo HTTP/1.1" 200 57902 "-" "python-requests/2.1.0 CPython/2.7.6 Linux/3.13.0-34-generic" "-" 0.027 0.027
