User: 遍历你支持的所有spl语法
Assistant: 以下是一些常见的 SPL 语法元素和示例：

* 基本搜索命令：用于过滤事件数据。`_index:your_index appname:your_appname`
* 字段选择：fields：用于选择特定字段。`| fields field1, field2`
* 统计命令：stats：用于执行统计分析。`| stats count(), sum(field), avg(field) by category`
* 条件筛选：where：用于筛选事件数据。`| where field1 > 100 AND field2=="value"`
* 排序：sort：用于对结果排序。`| sort by field1`
* 正则表达式：parse：用于从文本中提取信息。`| parse field=description "Error: (?<error_message>.+)"`
* 计算字段：eval：用于计算新字段。`| eval new_field = field1 + field2`
* 时间函数：formatdate 和 parsedate：用于日期和时间格式转换。`| eval new_time = parsedate(json.time, "yyyy-MM-dd HH:mm:ss")`
* 子搜索：`[[ appname:other_appname | stats count() by field ]]`
* 统计函数：avg、sum、count 等：用于统计计算。`| stats avg(field) as avg_field, sum(field) as sum_field`
* 条件函数：if 和 case：用于条件判断。`| eval status = if(response_code == 200, "OK", "Error")`
* 时间函数：relative_time、now 等：用于处理时间。`| where timestamp >= relative_time(now(), "-1h")`
* 聚合命令：timechart、chart 等：用于生成图表。`| timechart rendertype="area" count() by status`

这只是 SPL 的一小部分示例。SPL 非常灵活，可以根据不同的数据和需求进行定制。您可以根据具体情况深入学习和使用这些命令和函数。
