# 快手业务安全：敌众我寡的歼灭战

## 讲师介绍
- **姓名**：陈成
- **教育背景**：2014年2月，中国科学院信息安全博士
- **现任职务**：2018年3月起担任快手风控业务安全负责人

## 目录
1. 初识黑灰产
2. 走进风控
3. 核心打法

### 一、初识黑灰产
#### 黑色产业链
- **规模庞大**：人数众多，年产值高达千亿。
- **特点**：
  - 敌暗我明，善于伪装与反侦察。
  - 集团化、规模化和智能化运作。
  - 拥有完善的产业链。

#### 灰色产业链
- **从“肉鸡”到“真鸡”**：从最初的僵尸网络发展到真人真机参与。
- **特点**：
  - 平台化、裂变式增长。
  - 多场景、多行业渗透。

**2014年至2020年真人作弊APP开发者数量走势**
- 2014年: 14
- 2015年: 15
- 2016年: 37
- 2017年: 52
- 2018年: 184
- 2019年: 692
- 2020年: 1542

#### 短视频下的黑灰产
- **账号安全**：
  - 黑产：盗号扫号、批量注册。
  - 灰产：养号、租号。
  
- **引流**：
  - 黑产：垃圾内容发布。
  - 灰产：经营人设诈骗。
  
- **流量作弊**：
  - 黑产：使用改机、分身、群控技术。
  - 灰产：通过互助、众包手段进行操作。

#### 黑灰产特点
- **成本低，危害大**。
- **对抗性强**。
- **前中后台形成完整产业链**。
- **灰产隐蔽性高，识别与处置难度大**。
- **背后往往隐藏着黑产活动**。

### 二、走进风控
#### 黑灰产治理的特点——持续对抗过程
- **不同于AI算法**。
- **区别于社区规则管理**。
- **不同于漏洞挖掘工作**。

#### 黑灰产治理的难点
- **平衡安全与用户体验**：不当的风控措施可能直接损害用户体验，并引发负面舆情。
- **业务沟通障碍**：在处理漏报与误报时，常面临幸存者偏差问题；业务部门通常只有在出现问题后才会寻求风控帮助，导致对接效率低下。
- **木桶效应**：作为业务链条中的下游环节，风控团队对整体业务感知较弱，且需应对广泛的风险领域。

### 三、核心打法
#### 业务架构—中台化
- **策略对抗**：针对强对抗环境保持良好用户体验，同时解决业务沟通难题及风险防控覆盖面广的问题。
- **提出的核心解决方案**：
  - **产品方案**。
  - **业务联动**。
  - **基础能力构建**。
  - **情报体系建设**。

#### 策略对抗——平台化
- **优势**：无需编码即可上线新策略；提供从接入到监控的一站式服务；具备风险预警与熔断保护功能；用户界面友好易用。

#### 从人工到半自动化的转变
- **无监督与半监督方法的应用**：利用异构图关系识别作弊团伙，结合基础特征联合概率分布进行分析。

#### 业务联动
- **产品手段**：延迟发放奖励、设置风险提示、定制专属文案。
- **统一收口与联防联控**：与中台对接减少重复工作量，实现跨场景跨业务协同防御。
- **风控流程优化**：加强终端安全防护，建立验证与处置中心。

#### 基础能力建设
- **端安全**。
- **验证与处置中心**。

#### 情报体系
- **外部风险发现**。
- **研究黑灰产行为模式并撰写专题报告**。
- **收集线索供业务部门评估**。

### 治理效果
- **内部数据**：
  - 活动资金损失率：<0.2%
  - 客户投诉率：<2次/十万用户
  - 日均节省资金损失：百万元
  - 恶意曝光率：<0.01%
  - 日拦截请求量：十万次
  - 反作弊与恶意引流成效显著
  
- **外部评价**：（此处可根据实际情况补充具体评价或奖项信息）
