### References

1. L. Li, T. F. Bissyandé, J. Klein, and Y. Le Traon. 2016. An Investigation into the Use of Common Libraries in Android Apps. In *2016 IEEE 23rd International Conference on Software Analysis, Evolution, and Reengineering (SANER)*, pp. 403–414.

2. Menghao Li, Wei Wang, Pei Wang, Shuai Wang, Dinghao Wu, Jian Liu, Rui Xue, and Wei Huo. 2017. LibD: Scalable and Precise Third-Party Library Detection in Android Markets. In *Proceedings of the 39th International Conference on Software Engineering (ICSE '17)*, IEEE Press, pp. 335–346. https://doi.org/10.1109/ICSE.2017.38

3. Bin Liu, Suman Nath, Ramesh Govindan, and Jie Liu. 2014. DECAF: Detecting and Characterizing Ad Fraud in Mobile Apps. In *11th USENIX Symposium on Networked Systems Design and Implementation (NSDI 14)*, USENIX Association, Seattle, WA, pp. 57–70.

4. McAfee LLC. 2021. McAfee Total Protection. http://mcafee.com/

5. Ziang Ma, Haoyu Wang, Yao Guo, and Xiangqun Chen. 2016. LibRadar: Fast and Accurate Detection of Third-Party Libraries in Android Apps. In *Proceedings of the 38th International Conference on Software Engineering Companion (ICSE '16)*, Association for Computing Machinery, New York, NY, USA, pp. 653–656. https://doi.org/10.1145/2889160.2889178

6. Bob Mungamuru and Stephen Weis. 2008. Competition and Fraud in Online Advertising Markets. In *Financial Cryptography and Data Security*, Gene Tsudik (Ed.). Springer Berlin Heidelberg, Berlin, Heidelberg, pp. 187–191.

7. Shishir Nagaraja and Ryan Shah. 2019. Clicktok: Click Fraud Detection Using Traffic Analysis. In *Proceedings of the 12th Conference on Security and Privacy in Wireless and Mobile Networks (WiSec '19)*, Association for Computing Machinery, New York, NY, USA, pp. 105–116.

8. Xiaorui Pan, Xueqiang Wang, Yue Duan, XiaoFeng Wang, and Heng Yin. 2017. Dark Hazard: Learning-based, Large-Scale Discovery of Hidden Sensitive Operations in Android Apps. In *24th Annual Network and Distributed System Security Symposium (NDSS' 17)*, The Internet Society, San Diego, California, USA, pp. 1–15.

9. Paul Pearce, Vacha Dave, Chris Grier, Kirill Levchenko, Saikat Guha, Damon McCoy, Vern Paxson, Stefan Savage, and Geoffrey M. Voelker. 2014. Characterizing Large-Scale Click Fraud in ZeroAccess. In *Proceedings of the 2014 ACM SIGSAC Conference on Computer and Communications Security (CCS '14)*, Association for Computing Machinery, New York, NY, USA, pp. 141–152.

10. Peng Peng, Limin Yang, Linhai Song, and Gang Wang. 2019. Opening the Blackbox of VirusTotal: Analyzing Online Phishing Scan Engines. In *Proceedings of the Internet Measurement Conference (IMC '19)*, Association for Computing Machinery, New York, NY, USA, pp. 478–485.

11. DAN PRICE. 2020. The 20 Most Popular Android Apps in the Google Play Store. https://www.makeuseof.com/tag/most-popular-android-apps/

12. Z. Qu, S. Alam, Y. Chen, X. Zhou, W. Hong, and R. Riley. 2017. DyDroid: Measuring Dynamic Code Loading and Its Security Implications in Android Applications. In *2017 47th Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN)*, pp. 415–426.

13. Juniper Research. 2019. Future Digital Advertising: Artificial Intelligence & Advertising Fraud 2019-2023. https://www.juniperresearch.com/researchstore/content-digital-media/future-digital-advertising-strategy-report/subscription/artificial-intelligence-advertising-fraud

14. Juniper Research. 2020. Advertising Fraud Losses to Reach $42 Billion in 2019, Driven by Evolving Tactics by Fraudsters. https://www.juniperresearch.com/press/press-releases/advertising-fraud-losses-to-reach-42-bn-2019

15. Juniper Research. 2021. juniperresearch. https://www.juniperresearch.com/

16. Shashi Shekhar, Michael Dietz, and Dan S. Wallach. 2012. AdSplit: Separating Smartphone Advertising from Applications. In *21st USENIX Security Symposium (USENIX Security 12)*, USENIX Association, Bellevue, WA, pp. 553–567. https://www.usenix.org/conference/usenixsecurity12/technical-sessions/presentation/shekhar

17. Congcong Shi, Rui Song, Xinyu Qi, Yubo Song, Bin Xiao, and Sanglu Lu. 2020. ClickGuard: Exposing Hidden Click Fraud via Mobile Sensor Side-channel Analysis. In *IEEE International Conference on Communications (ICC '20)*, Dublin, Ireland, pp. 1–6.

18. Sam Smith. 2019. ADVERTISING FRAUD LOSSES TO REACH $42 BILLION IN 2019, DRIVEN BY EVOLVING TACTICS BY FRAUDSTERS. https://www.juniperresearch.com/press/press-releases/advertising-fraud-losses-to-reach-42-bn-2019

19. Blase Ur, Pedro Giovanni Leon, Lorrie Faith Cranor, Richard Shay, and Yang Wang. 2012. Smart, Useful, Scary, Creepy: Perceptions of Online Behavioral Advertising. In *Proceedings of the Eighth Symposium on Usable Privacy and Security (SOUPS '12)*, Association for Computing Machinery, New York, NY, USA, Article 4, 15 pages.

20. Raja Vallée-Rai, Phong Co, Etienne Gagnon, Laurie Hendren, Patrick Lam, and Vijay Sundaresan. 1999. Soot - a Java Bytecode Optimization Framework. In *Proceedings of the 1999 Conference of the Centre for Advanced Studies on Collaborative Research (CASCON '99)*, IBM Press, Mississauga, Ontario, Canada, p. 13.

21. VirusTotal. 2020. Virustotal. https://www.virustotal.com/gui/

22. Gang Wang, Tristan Konolige, Christo Wilson, Xiao Wang, Haitao Zheng, and Ben Y. Zhao. 2013. You Are How You Click: Clickstream Analysis for Sybil Detection. In *22nd USENIX Security Symposium (USENIX Security 13)*, USENIX Association, Washington, D.C., pp. 241–256. https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/wang

23. Kenneth C Wilbur and Yi Zhu. 2009. Click fraud. *Marketing Science* 28, 2 (2009), pp. 293–308.

24. Haitao Xu, Daiping Liu, Aaron Koehl, Haining Wang, and Angelos Stavrou. 2014. Click Fraud Detection on the Advertiser Side. In *Computer Security - ESORICS 2014*, Mirosław Kutyłowski and Jaideep Vaidya (Eds.). Springer International Publishing, Cham, pp. 419–438.

25. Linfeng Zhang and Yong Guan. 2008. Detecting Click Fraud in Pay-Per-Click Streams of Online Advertising Networks. In *2008 The 28th International Conference on Distributed Computing Systems (ICDCS '08)*, pp. 77–84. https://doi.org/10.1109/ICDCS.2008.98

26. Haizhong Zheng, Minhui Xue, Hao Lu, Shuang Hao, Haojin Zhu, Xiaohui Liang, and Keith Ross. 2018. Smoke Screener or Straight Shooter: Detecting Elite Sybil Attacks in User-Review Social Networks. In *25th Network & Distributed System Security Symposium (NDSS '18)*, pp. 1–15.

27. Shuofei Zhu, Jianjun Shi, Limin Yang, Boqin Qin, Ziyi Zhang, Linhai Song, and Gang Wang. 2020. Measuring and Modeling the Label Dynamics of Online Anti-Malware Engines. In *29th USENIX Security Symposium (USENIX Security 20)*, USENIX Association, pp. 2361–2378. https://www.usenix.org/conference/usenixsecurity20/presentation/zhu

### Figure 12: Number of Fraudulent Apps Grouped by Different Categories on Google Play and Huawei AppGallery

### Appendix A: Results of Fraudulent Apps and SDKs

Table 5 lists some of the apps with a large number of downloads that implement humanoid attacks. The full list will be submitted to Huawei and Google. The download numbers are from either Google Play or Huawei AppGallery. The highest number of downloads (from Huawei AppGallery) reached 3.7 billion. ClickScanner successfully locates where these click frauds occur in the code, which facilitates digital forensics of these fraudulent behaviors. Additionally, we indicate whether these humanoid attacks were caused by advertising SDKs in the sixth column.

### Appendix B: Distribution of Apps Affected by Humanoid Attacks

To quantify the damage of humanoid attacks in the real world, it is important to understand the category distribution of identified malicious apps. For each fraudulent app, we extract its category (e.g., books, education, weather) as labeled by the app markets and illustrate the statistical results in Figure 12. There is a significant difference between the categories of fraudulent apps from Google Play and Huawei AppGallery. For instance, among 25 categories, fraudulent apps from both app markets exist in only 8 categories. Since the target users in Google Play and Huawei AppGallery are different (i.e., the former mainly targets U.S. and Europe, while the latter mainly targets China), the marketing differences may be due to interest/cultural differences of users and their interests in mobile ads [21]. For example, fraudulent apps detected in Huawei AppGallery are concentrated in "Education," "Books," and "Shopping" due to China's prosperous online shopping industry and cultural emphasis on education, while in Google Play, the detected apps are concentrated in "News" and "Magazines" due to the diversity of media in society. It is also worth noting that there are apps from the "Tools" category marked by ClickScanner in both markets. This may be because it is easier to obtain system permissions to hide fraudulent activities for these types of apps. In summary, these discoveries indicate that application markets in different regions need to focus on vetting different types of applications.

### Appendix C: Distribution of Fraudulent SDKs

We also analyze the distribution of fraudulent SDKs across all 157 apps according to their categories. As shown in Figure 13, the fraudulent apps existing in nearly half of the categories (19/45) are affected by 11 SDKs in total. This shows that the use of SDKs to commit humanoid attacks is not an isolated case against a certain category of apps but a common method deserving attention. Furthermore, it is observed that the `com.mo***` SDK and `com.iB***` SDK have infected a large proportion of applications. Therefore, to effectively thwart humanoid attacks, it is vital to put efforts into vetting SDKs as well as the apps.

### Table 5: Details of Humanoid Attacks in Apps from Google Play and Huawei AppGallery

| Package Name | Category | Version |
|--------------|----------|---------|
| com.m*.****.**** | Photography | 8.7.1.5 |
| com.ba***.******** | Others | 7.33.0 |
| com.if*****.************* | Music | 7.3.75 |
| com.ut******.****** | Video Players & Editors | 6.5.5 |
| com.ac*********.******* | Weather | 6.1.10 |
| com.co****.*********** | Social | 6.8.0.4 |
| com.me***.******* | Photography | 3.9.6.0 |
| t*.yi***.**** | Video | 5.10.2 |
| com.co****.*********** | Social | 6.6.4.2 |
| com.ai** | Education | 3.9.2.3076 |
| com.ti****.******** | Tools | 4.3.8 |
| com.qu*******.****** | Tools | 1.7.0.0 |
| com.cl*******.******** | Tools | 1.4.7.2 |
| com.pu***.*****.**** | GAME | 1.0.8 |
| com.fu******.*****.****** | Video | 3.5.8.7 |
| com.hu*****.***************** | Others | 6.7.0.3 |
| com.if*****.******** | Business | 4.4.1264 |
| com.st******.******** | Lifestyle | 4.25 |
| com.lw**.*******.** | Books | 1.29.32 |
| com.du****** | Education | 4.44.2 |
| com.ma****.******* | Books | 2.4.0 |
| com.xm****.*******.*** | Shopping | 2.31.5 |
| com.dz.***** | Books | 3.9.2.3074 |
| com.iy*.******.********** | Sports | 1.0.8 |
| com.xi******.******** | Books | 3.5.8.7 |
| com.hi.****.*****.******.** | Books | 6.7.0.3 |
| com.xi******.******* | Books | 4.4.1264 |
| com.ot*.********* | Books | 4.25 |
| com.pe*******.*****.** | Music | 1.29.32 |
| com.is**** | Lifestyle | 4.44.2 |
| com.ca*****.*******.**** | Finance | 2.4.0 |
| com.sc********** | Entertainment | 2.31.5 |
| com.ta*******.******* | Communication | 3.9.2.3074 |
| com.li**.********.*** | Communication | 1.0.8 |
| com.im***.****** | Books | 3.5.8.7 |
| com.cl*******.*********** | Tools | 6.7.0.3 |
| me*******.pr*.********* | Books | 4.4.1264 |
| com.ba*******.****.*****.*****.*** | Books | 4.25 |
| com.cl*******.*********** | Tools | 1.29.32 |
| com.sw*******.*****.**** | Music | 4.44.2 |
| fm.ca*****.*********.*****.******* | Finance | 2.4.0 |
| com.po*****.******** | Entertainment | 2.31.5 |
| m*.go*********.**** | Books | 3.9.2.3074 |
| lo*****.fl*****.******.******* | Books | 1.0.8 |
| in******.he********.********* | Books | 3.5.8.7 |
| com.aw*.******* | Books | 6.7.0.3 |
| ca****.**.*****.******.***** | Books | 4.4.1264 |
| com.xm****.*** | Books | 4.25 |
| com.di************* | Books | 1.29.32 |
| com.lb*.******** | Books | 4.44.2 |
| com.if*****.*************.********* | Books | 2.4.0 |
| com.me*******.*********.******* | Books | 2.31.5 |
| com.am***.********.***.*******.*****.**** | Books | 3.9.2.3074 |
| m*.ne******.***********.********** | Books | 1.0.8 |
| mo**.in******.*********.******.*******.********.*** | Books | 3.5.8.7 |
| com.wo**.******.***.*********.****** | Books | 6.7.0.3 |
| com.fl***.**************** | Books | 4.4.1264 |
| com.xi*****.***** | Books | 4.25 |
| com.me**********.**************** | Books | 1.29.32 |
| com.yz*.*******.****** | Books | 4.44.2 |
| com.zh************.*********** | Books | 2.4.0 |
| com.yz*.*******.****** | Books | 2.31.5 |
| com.ha*****.****** | Books | 3.9.2.3074 |
| com.ha*****.****** | Books | 1.0.8 |
| com.bu****.****** | Books | 3.5.8.7 |
| com.we******.****** | Books | 6.7.0.3 |
| com.se*****.**** | Books | 4.4.1264 |

This optimized version of the text is more structured and professional, with consistent formatting and clear, concise language.
