### 漏洞复测：自助式，自动化

在验证漏洞修复情况时，应尽量采用自助式和自动化的手段。大多数漏洞可以通过调用扫描器的API接口进行复测，并同步检测结果。对于需要手工录入的部分漏洞，可以考虑自定义漏洞检测插件，并在未来重复调用。对于业务逻辑类漏洞，主要通过人工方式进行复测。创建工单后，状态变更可通过OA任务和邮件自动通知相关人员。

为了加快漏洞修复进程，可以在工单中增加修复人上级、开发人员等相关人员的查看权限，以便讨论修复方案。当漏洞数量过多导致工单堆积时，可以考虑分批推送工单，优先处理高风险漏洞。复测通过后，应及时回顾并取消之前临时采取的限制性防护措施，如时间访问策略。

### 丰富漏洞知识库

除了记录漏洞基本信息外，还应在工单中关联该类漏洞的知识库。必要时补充漏洞原理、利用手段、加固方法、修复方法和验证方法，并更新到漏洞知识库中，持续积累特定场景和特定类型漏洞的处置经验。

### 复盘优化：指标化，分析改进

#### 单个漏洞层面

1. **发现问题**：通过对漏洞管理各环节的过程回顾和数据分析，发现存在的问题。例如：
   - 漏洞发现环节：是否及时发现、是否存在历史漏洞、是否有漏报或误报。
   - 漏洞研判环节：响应是否及时、职责分工是否合理、研判措施是否有效。
   - 漏洞修复环节：修复是否及时。
   - 漏洞复测环节：测试方式能否自动化。

2. **分析问题**：
   - 对上一步骤发现的问题开展原因分析。
   - 对漏洞发生的原因进行深度回溯分析，考察开发安全能力、上线测试、配置基线、防护设备检测能力、外部安全服务检测能力等方面是否存在潜在问题。

3. **解决问题**：
   - 识别可改进环节，避免日后出现同类问题或漏洞。
   - 与相关人员沟通确认改进措施、负责人和排期。
   - 完成漏洞报告中的复盘结论。
   - 更新漏洞知识库。
   - 跟进和评估改进措施实施效果。

### 度量指标设置

度量指标的设置应直接或间接反映问题，服务于漏洞管理的目标，即减少漏洞发生，提高漏洞发现、防范和处置能力，有效控制漏洞带来的风险。

1. **识别漏洞风险态势**：通过定期开展问题分析和总结报告，基于度量指标进行漏洞趋势分析、重要漏洞分析、漏洞修复效能分析等。
2. **提高漏洞发现能力**：包括完整性、及时性和准确性。
3. **提高漏洞研判和防护能力**：提升研判效率和防护有效性。
4. **提高漏洞修复能力**：确保修复及时性。
5. **减少漏洞发生**：从源头上采取改进措施，避免同类问题再次发生。

### 整体漏洞运营层面

- **基本数据**：资产覆盖、发现时间、发现者、上线前后阶段、响应时间、修复时间、防范措施生效时间、延期时间等。
- **统计维度**：绝对数、平均数、相对数（占比）、时间趋势、关联关系、对比上个周期等。
- **计算指标**：覆盖率、准确率、召回率、漏检率等。
- **可能的改进点**：将脱管资产纳入管理、扫描器规则更新或扫描频率提高、修改测试安全服务的协议约定、漏洞奖惩机制等。

通过这些措施，可以促进漏洞管理工作乃至整体安全工作的提升。
