## B2B营销的第一性原理  
### 作者  
digoal  
### 日期  
2021-09-06   
### 标签  
PostgreSQL , B2B营销    
----  
## 背景  
https://mm.edrawsoft.cn/template/70681  
#### 人人皆销售，处处是营销  
- 植物通过自我营销来繁衍后代  
- 动物通过自我营销来吸引异性  
- 生活中充满了各种营销场景  
#### B2B营销发展的四个阶段  
- 起源:工业大规模生产催动企业营销的发展。  
- 第一阶段  
    - 经营核心:生产  
    - 企业认知:消费者需要的是随处买得到的产品，提高生产的效率和扩大配销范围。  
    - 生产观念:皇帝的女儿不愁嫁  
- 第二阶段  
    - 经营核心:产品  
    - 企业认知:消费者需要的是物美价廉的产品。  
    - 产品观念:酒香不怕巷子深  
- 第三阶段  
    - 经营核心:推销  
    - 企业认知:如果任其自然，消费者不会主动买本企业太多的产品。  
    - 推销观念:王婆卖瓜自卖自夸  
- 第四阶段  
    - 经营核心:消费者/竞争  
    - 企业认知:在目标市场比竞争者更好的满足消费者的需求  
    - 营销观念:创造用户，满足需求  
        - 企业唯一的目的就是创造顾客  -->  彼得·德鲁克  
        - 企业最重要的是有盈利的满足客户的需求  -->  菲利普·科特勒  
#### 营销最底层的驱动因素  -->  人性  
- 营是手段  
- 销是目的  
    - 做广告就是为了销售产品，否则就不是做广告  -->  大卫·奥格威  
- 第一因:人性  
    - 我们的任何行为，并不是先有了意识才做出行动，形成人的行为的真正因素大多是无意识的。  -->  弗洛伊德  
        - 潜意识论  
    - 驱动员工提升绩效背后的核心因素有两个，激励因素和保健因素。  -->  赫兹伯格  
        - 双因素论  
    - 马斯洛需求:生存需求 —— 安全需求 —— 社会需求 —— 尊重需求 —— 自我实现  -->  马斯洛  
        - 需求层次论  
#### 破解消费者需求密码的“需求三角”  
- 破解消费着需求密码  -->  需求增长  
- 缺乏感  
    - 理想与现实之差  
- 目标物  
    - 填补落差的方案  
- 能力  
    - 采取行动的成本  
#### 从企业的角度看马斯洛需求层次  
- 生存需求  
    - 活下去  
- 安全需求  
    - 持续盈利  
- 社会需求  
    - 与同行收益水平相当或超越  
- 尊重需求  
    - 被社会认可  
- 自我实现  
    - 业界领袖  
#### B2B营销组合策略:重新定义4P  
- B2B、B2C基础需求的动机差异  
    - 需求动机  
        - 消费者:感性的，欲望、风格、信誉  
            - 关注外在  
        - 企业客户:理性的，降低成本，提高效率、盈利  
            - 关注内外  
    - 决策模式  
        - 消费者:简单  
        - 企业客户:复杂  
- 重新定义4P  
    - 产品  
        - 变成解决方案  
            - 针对用户具体需求提供包含产品、技术、服务等组合的解决方案。  
    - 价格  
        - 变成了价值  
            - 解决什么具体问题:提高效率、降低风险、优化库存等。  
                - “低价”在B2B公司营销自己产品和服务时所使用的13个品牌主题中排名倒数第一。  
    - 渠道  
        - 变成了信息入口  
            - B2B营销人要关注的不再是渠道终端，而需要注意用户在互联网上查找、讨论的内容。  
    - 促销  
        - 变成了教育  
            - 用户要找有想法的公司，能够在某个专业领域教育他们的合作伙伴。  
- B2B营销的双组合  
    - 市场营销+销售  
#### B2B营销的第一性原理  
- 成交  
    - 客户关系  
        - 信任关系(建立品牌信任)  
            - 销售  
                - 个人/产品信任  
            - 市场营销  
                - 公司/品牌的信任  
#### 企业如何建立品牌信任  
- 让信任成为你的第一价值(风险系数，群体制衡)  
    - 希望有功  
    - 更求无过  
- 公司品牌极其重要  
    - 品牌信任  
- 获取谁的信任  
    - 关键决策者（KP）  
        - 决策链条:需求  -->  方案  -->  采购  -->  验收  -->  售后  -->  续增  (多场景，多回合)  
    - 语境差异  
        - 因人而异  
#### 实现用户价值和客户价值的平衡  
- 二元价值的平衡(有用、能用、易用、爱用)  
    - 只关注客户价值，不关注用户价值的产品，容易夭折。  
    - 只关注用户价值，不关注客户价值的产品，往往叫好不叫座  
#### 企业如何构建与客户之间的信任  
- 无条件信任  
    - 需要先验的知道感  
- 有条件信任  
- 信任建立的三个主要因素  
    - 可预测  
        - 过去的行为规律  
    - 可依赖  
