为了使文本更加清晰、连贯和专业，我将对其进行重新组织，并添加必要的标题和说明。以下是优化后的文本：

---

### NIST SP 800-161r1: 网络安全供应链风险管理实践

**出版物免费获取链接：**
[https://doi.org/10.6028/NIST.SP.800-161r1](https://doi.org/10.6028/NIST.SP.800-161r1)

#### 配置管理 (CM) 控制

| 控制标识符 | 控制（或控制增强）名称 | C-SCRM 基线 | 流程下放控制 | 1级 | 2级 | 3级 |
|------------|-------------------------|--------------|---------------|-----|-----|-----|
| CM-1       | 政策和程序              | x            | x             | x   | x   | x   |
| CM-2       | 基线配置                | x            | x             | x   | x   | x   |
| CM-2(6)    | 开发和测试环境的基线配置 | x            | x             |     |     |     |
| CM-3       | 配置变更控制            | x            | x             | x   | x   | x   |
| CM-3(1)    | 自动化文档、通知和禁止变更 | x            | x             |     |     |     |
| CM-3(2)    | 变更的测试、验证和文档记录 | x            | x             |     |     |     |
| CM-3(4)    | 安全和隐私代表          | x            | x             |     |     |     |
| CM-3(8)    | 防止或限制配置变更      | x            | x             |     |     |     |
| CM-4       | 影响分析                | x            | x             | x   | x   | x   |
| CM-4(1)    | 分离测试环境的影响分析  | x            |               |     |     |     |
| CM-5       | 变更访问限制            | x            | x             | x   | x   | x   |
| CM-5(1)    | 自动访问强制执行和审计记录 | x            |               |     |     |     |
| CM-5(6)    | 限制库权限              | x            |               |     |     |     |
| CM-6       | 配置设置                | x            | x             | x   | x   | x   |
| CM-6(1)    | 自动化管理、应用和验证  | x            |               |     |     |     |
| CM-6(2)    | 对未经授权的变更做出响应 | x            |               |     |     |     |
| CM-7       | 最小功能                | x            | x             | x   | x   | x   |
| CM-7(1)    | 定期审查                | x            | x             |     |     |     |
| CM-7(4)    | 未经授权的软件          | x            | x             |     |     |     |
| CM-7(5)    | 授权软件                | x            |               |     |     |     |
| CM-7(6)    | 有限特权的受限环境      | x            | x             |     |     |     |
| CM-7(7)    | 在受保护环境中执行代码  | x            |               |     |     |     |
| CM-7(8)    | 二进制或机器可执行代码  | x            | x             |     |     |     |
| CM-7(9)    | 禁止使用未经授权的硬件  | x            | x             |     |     |     |
| CM-8       | 系统组件清单            | x            | x             | x   | x   | x   |
| CM-8(1)    | 安装和移除期间的更新    | x            |               |     |     |     |
| CM-8(2)    | 自动维护                | x            |               |     |     |     |
| CM-8(4)    | 责任信息                | x            |               |     |     |     |
| CM-8(6)    | 评估配置和批准偏差      | x            |               |     |     |     |
| CM-8(7)    | 集中存储库              | x            |               |     |     |     |
| CM-8(8)    | 自动位置跟踪            | x            | x             |     |     |     |
| CM-8(9)    | 将组件分配给系统        | x            |               |     |     |     |
| CM-9       | 配置管理计划            | x            | x             | x   | x   | x   |
| CM-9(1)    | 责任分配                | x            | x             |     |     |     |
| CM-10      | 软件使用限制            | x            | x             | x   | x   | x   |
| CM-10(1)   | 开源软件                | x            | x             |     |     |     |
| CM-11      | 用户安装的软件          | x            | x             | x   | x   | x   |
| CM-12      | 信息位置                | x            | x             | x   | x   | x   |
| CM-12(1)   | 支持信息位置的自动化工具 | x            | x             |     |     |     |
| CM-13      | 数据操作映射            | x            | x             |     |     |     |
| CM-14      | 签名组件                | x            |               |     |     |     |

#### 应急规划 (CP) 控制

| 控制标识符 | 控制（或控制增强）名称 | C-SCRM 基线 | 流程下放控制 | 1级 | 2级 | 3级 |
|------------|-------------------------|--------------|---------------|-----|-----|-----|
| CP-1       | 政策和程序              | x            | x             | x   | x   | x   |
| CP-2       | 应急计划                | x            | x             | x   | x   | x   |
| CP-2(1)    | 与相关计划协调          | x            | x             |     |     |     |
| CP-2(2)    | 容量规划                | x            | x             |     |     |     |
| CP-2(7)    | 与外部服务提供商协调    | x            | x             |     |     |     |
| CP-2(8)    | 识别关键资产            | x            |               |     |     |     |
| CP-3       | 应急培训                | x            | x             | x   | x   | x   |
| CP-3(1)    | 模拟事件                | x            | x             |     |     |     |
| CP-4       | 应急计划测试            | x            | x             | x   | x   | x   |
| CP-6       | 替代存储站点            | x            | x             | x   | x   | x   |
| CP-6(1)    | 与主站点分离            | x            | x             |     |     |     |
| CP-7       | 替代处理站点            | x            | x             |     |     |     |
| CP-8       | 电信服务                | x            | x             | x   | x   | x   |
| CP-8(3)    | 主要和替代提供商分离    | x            | x             |     |     |     |
| CP-8(4)    | 提供商应急计划          | x            | x             |     |     |     |
| CP-11      | 替代通信协议            | x            | x             |     |     |     |

#### 身份认证 (IA) 控制

| 控制标识符 | 控制（或控制增强）名称 | C-SCRM 基线 | 流程下放控制 | 1级 | 2级 | 3级 |
|------------|-------------------------|--------------|---------------|-----|-----|-----|
| IA-1       | 政策和程序              | x            | x             | x   | x   | x   |
| IA-2       | 组织用户的身份认证      | x            | x             | x   | x   | x   |
| IA-3       | 设备身份认证            | x            | x             | x   | x   | x   |
| IA-4       | 标识符管理              | x            | x             | x   | x   | x   |
| IA-4(6)    | 跨组织管理              | x            | x             |     |     |     |
| IA-5       | 认证器管理              | x            | x             | x   | x   | x   |
| IA-5(5)    | 在交付前更改认证器      | x            |               |     |     |     |
| IA-5(9)    | 联合凭证管理            | x            |               |     |     |     |
| IA-8       | 非组织用户的身份认证    | x            | x             | x   | x   | x   |
| IA-9       | 服务身份认证            | x            | x             | x   | x   | x   |

---

这样组织后，表格更加清晰，每个控制项都有明确的分类和级别，便于阅读和理解。
