    Warning	C4267	'initializing': conversion from 'size_t' to 'int32_t', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\jit\argument_spec.h	231	
    Warning	C4267	'initializing': conversion from 'size_t' to 'int32_t', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\jit\argument_spec.h	234	
    Warning	C4267	'initializing': conversion from 'size_t' to 'const int32_t', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\jit\argument_spec.h	234	
    Warning	C4244	'+=': conversion from 'int64_t' to 'int32_t', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\jit\argument_spec.h	239	
    Warning	C4244	'+=': conversion from 'int64_t' to 'int32_t', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\jit\argument_spec.h	259	
    Warning	C4267	'argument': conversion from 'size_t' to 'const int', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\jit\argument_spec.h	427	
    Warning	C4251	'torch::jit::Code::pImpl': class 'std::shared_ptr' needs to have dll-interface to be used by clients of struct 'torch::jit::Code'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\jit\interpreter.h	52	
    Warning	C4251	'torch::jit::GraphExecutor::pImpl': class 'std::shared_ptr' needs to have dll-interface to be used by clients of struct 'torch::jit::GraphExecutor'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\jit\graph_executor.h	53	
    Warning	C4251	'torch::jit::Function::name_': struct 'c10::QualifiedName' needs to have dll-interface to be used by clients of struct 'torch::jit::Function'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\jit\function.h	107	
    Warning	C4251	'torch::jit::Function::graph_': class 'std::shared_ptr' needs to have dll-interface to be used by clients of struct 'torch::jit::Function'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\jit\function.h	109	
    Warning	C4251	'torch::jit::Function::optimized_graph_': class 'c10::optional>' needs to have dll-interface to be used by clients of struct 'torch::jit::Function'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\jit\function.h	114	
    Warning	C4251	'torch::jit::Function::compile_mutex': class 'std::recursive_mutex' needs to have dll-interface to be used by clients of struct 'torch::jit::Function'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\jit\function.h	122	
    Warning	C4251	'torch::jit::Function::function_creator_': class 'std::function' needs to have dll-interface to be used by clients of struct 'torch::jit::Function'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\jit\function.h	129	
    Warning	C4251	'torch::jit::Function::schema_': class 'std::unique_ptr>' needs to have dll-interface to be used by clients of struct 'torch::jit::Function'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\jit\function.h	134	
    Warning	C4251	'torch::jit::script::Method::owner_': class 'c10::intrusive_ptr>' needs to have dll-interface to be used by clients of struct 'torch::jit::script::Method'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\jit\script\method.h	57	
    Warning	C4251	'torch::jit::script::Object::_ivalue_': class 'c10::intrusive_ptr>' needs to have dll-interface to be used by clients of struct 'torch::jit::script::Object'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\jit\script\object.h	105	
    Warning	C4251	'torch::jit::script::CompilationUnit::functions_': class 'std::vector>,std::allocator>>>' needs to have dll-interface to be used by clients of struct 'torch::jit::script::CompilationUnit'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\jit\script\compilation_unit.h	255	
    Warning	C4251	'torch::jit::script::CompilationUnit::dict_': class 'std::unordered_map,std::equal_to,std::allocator>>' needs to have dll-interface to be used by clients of struct 'torch::jit::script::CompilationUnit'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\jit\script\compilation_unit.h	257	
    Warning	C4251	'torch::jit::script::CompilationUnit::classDict_': class 'std::unordered_map,std::equal_to,std::allocator>>' needs to have dll-interface to be used by clients of struct 'torch::jit::script::CompilationUnit'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\jit\script\compilation_unit.h	258	
    Warning	C4251	'torch::jit::script::CompilationUnit::classes_': class 'std::vector>' needs to have dll-interface to be used by clients of struct 'torch::jit::script::CompilationUnit'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\jit\script\compilation_unit.h	265	
