以下是优化后的文本，使其更加清晰、连贯和专业：

| 操作系统 | 战术 | 技术 | 详细描述 | 检测方法 |
| --- | --- | --- | --- | --- |
| Linux, Windows, macOS | 执行 | 用户执行 | Dragonfly 2.0 使用多种形式的鱼叉式网络钓鱼尝试诱导用户点击链接或打开附件。 | 反病毒软件, 进程命令行参数, 进程监控 |
| Linux, macOS, Windows | 命令与控制 | 标准应用层协议 | Dragonfly 2.0 使用 SMB 进行 C2 通信。 | 数据包捕获, Netflow/Enclave netflow, 进程网络使用, 恶意软件逆向工程, 进程监控 |
| Linux, macOS, Windows | 防御规避 | 禁用安全工具 | Dragonfly 2.0 禁用了基于主机的防火墙，并全局打开了端口 3389。 | API 监控, 文件监控, 服务, Windows 注册表, 进程命令行参数, 反病毒软件 |
| Windows | 防御规避 | 修改注册表 | Dragonfly 2.0 通过使用 Reg 工具修改注册表以执行多种技术。 | Windows 注册表, 文件监控, 进程监控, 进程命令行参数, Windows 事件日志 |
| Linux, macOS, Windows | 发现 | 文件和目录发现 | Dragonfly 2.0 使用批处理脚本从受害者主机收集文件夹和文件名。 | 文件监控, 进程监控, 进程命令行参数 |
| Windows | 持久化 | 快捷方式修改 | Dragonfly 2.0 操纵 .lnk 文件以结合强制身份验证来收集用户凭据。 | 文件监控, 进程监控, 进程命令行参数 |
| Linux, macOS, Windows | 防御规避 | 主机上的指标删除 | Dragonfly 2.0 清除了 Windows 事件日志和其他由其使用的工具生成的日志，包括系统、安全、终端服务、远程服务和审计日志。攻击者还删除了特定的注册表键。 | 文件监控, 进程监控, 进程命令行参数, API 监控, Windows 事件日志 |
| Linux, macOS, Windows, Office 365, Azure AD, SaaS | 凭证访问 | 暴力破解 | Dragonfly 2.0 下载并执行了用于密码破解的工具，如 Hydra。 | Office 365 账户日志, 认证日志 |
| Linux, macOS, Windows | 发现 | 系统网络配置发现 | Dragonfly 2.0 使用批处理脚本枚举网络信息，包括信任、区域和域的信息。 | 进程监控, 进程命令行参数 |
| Linux, macOS, Windows, AWS, GCP, Azure, SaaS, Office 365 | 防御规避, 持久化, 特权提升, 初始访问 | 有效账户 | Dragonfly 2.0 获取了用户凭据，并使用有效账户进行操作。 | AWS CloudTrail 日志, Stackdriver 日志, 认证日志, 进程监控 |
| Windows | 持久化 | 注册表运行键/启动文件夹 | Dragonfly 2.0 在注册表运行键中添加 ntdll 值以建立持久性。 | Windows 注册表, 文件监控 |
| Linux, Windows, macOS | 持久化, 特权提升 | Web Shell | Dragonfly 2.0 通常在受害者的公开可访问电子邮件和 Web 服务器上创建 Web Shell，用于维持对受害者网络的访问并下载额外的恶意文件。 | 反病毒软件, 认证日志, 文件监控, Netflow/Enclave netflow, 进程监控 |
| Windows | 持久化, 初始访问 | 外部远程服务 | Dragonfly 2.0 使用 VPN 和 Outlook Web Access (OWA) 维持对受害者网络的访问。 | 认证日志 |
| Windows | 横向移动 | 远程桌面协议 | Dragonfly 2.0 通过 RDP 进行横向移动。 | 认证日志, Netflow/Enclave netflow, 进程监控 |
| Linux, macOS, Windows, GCP, AWS, Azure | 收集 | 本地系统数据 | Dragonfly 2.0 从本地受害者系统收集数据。 | 文件监控, 进程监控, 进程命令行参数 |
| Windows | 发现 | 查询注册表 | Dragonfly 2.0 查询注册表以识别受害者信息。 | Windows 注册表, 进程监控, 进程命令行参数 |
| Windows | 凭证访问 | 强制认证 | Dragonfly 2.0 通过带有外部资源链接的鱼叉式网络钓鱼附件和修改 .LNK 文件图标资源来收集哈希用户凭据。 | 文件监控, 网络协议分析, 网络设备日志, 进程网络使用 |
| Linux, macOS, Windows, AWS, GCP, Azure | 收集 | 数据暂存 | Dragonfly 2.0 在用户的 %AppData% 文件夹中创建了一个名为 "out" 的目录，并将文件复制到其中。 | 文件监控, 进程监控, 进程命令行参数 |
| Linux, macOS, Windows | 命令与控制 | 常用端口 | Dragonfly 2.0 通过端口 445 或 139 使用 SMB 进行 C2 通信。该组织还在端口 443 上建立了加密连接。 | 数据包捕获, Netflow/Enclave netflow, 进程网络使用, 进程监控 |
| Linux, macOS, Windows | 命令与控制, 横向移动 | 远程文件复制 | Dragonfly 2.0 在进入受害者环境后复制并安装了用于操作的工具。 | 文件监控, 数据包捕获, 进程网络使用, Netflow/Enclave netflow, 网络协议分析, 进程监控 |
| Windows, macOS, Linux | 初始访问 | 鱼叉式网络钓鱼附件 | Dragonfly 2.0 使用带有 Microsoft Office 附件的鱼叉式网络钓鱼邮件针对受害者。 | 文件监控, 数据包捕获, 网络入侵检测系统, 沙箱, 电子邮件网关, 邮件服务器 |
| Linux, macOS, Windows | 发现 | 系统所有者/用户发现 | Dragonfly 2.0 在受害者主机上使用 `query user` 命令。 | 文件监控, 进程监控, 进程命令行参数 |
| Windows, Office 365, Azure, GCP, Azure AD, AWS | 凭证访问, 持久化 | 账户操纵 | Dragonfly 2.0 将新创建的账户添加到管理员组，以保持高级别访问权限。 | 认证日志, API 监控, Windows 事件日志, 数据包捕获 |
| Linux, macOS, Windows, Office 365, Azure AD | 发现 | 账户发现 | Dragonfly 2.0 使用批处理脚本枚举受害者环境中的用户。 | Azure 活动日志, Office 365 账户日志, API 监控, 进程监控, 进程命令行参数 |
| Linux, Windows, macOS | 数据外泄 | 数据压缩 | Dragonfly 2.0 在外泄前将数据压缩为 .zip 文件。 | 二进制文件元数据, 文件监控, 进程命令行参数, 进程监控 |

希望这些改进能帮助您更好地理解和使用这些信息。如果有任何进一步的需求，请告诉我！
