# 工作组

## 定义
工作组是局域网中的一种资源管理模式，通常在计算机数量不多且管理要求不高的情况下使用。默认情况下，所有计算机都属于名为 "WORKGROUP" 的工作组。通过将不同功能的计算机分配到不同的工作组中，可以简化管理和资源共享。这种模式下，各计算机之间是对等的，没有明确的服务器和客户端之分。用户可以通过输入对方主机的用户名和密码来访问共享文件夹（默认共享目录为 Users）。

## 加入工作组
1. 右键点击桌面上的“此电脑”图标。
2. 从弹出菜单中选择“属性”选项。
3. 点击“高级系统设置”链接。
4. 在打开的新窗口中，找到并点击“计算机名”标签页下的“更改”按钮。
5. 在出现的对话框里，在“计算机名”字段输入所需的名称；在“工作组”字段内填写希望加入的工作组名。
6. 如果指定的工作组尚未存在，则创建一个新工作组，此时该工作组仅包含您的设备。
7. 完成上述步骤后单击“确定”，系统会提示需要重启以应用更改。
8. 重启完成后，您就可以在网络邻居中看到同组内的其他成员了。

## 退出工作组
要离开当前所在的工作组，只需按照上述流程修改计算机所属的工作组名称即可。值得注意的是，即使更改了工作组归属，原先对外公开的共享资源仍可能被网络中的其他用户访问，除非您手动关闭或限制这些权限。

## 访问工作组资源
- 打开文件资源管理器。
- 导航至左侧栏中的“网络”部分。
- 选择想要连接的目标机器。
- 输入目标机器上对应的登录凭证（用户名及密码），随后便能浏览其提供的共享内容。

## 优缺点分析
### 优点
- **易于部署与维护**：适用于小型企业环境，无需复杂配置即可快速搭建。
- **灵活便捷**：支持自定义分组策略，便于根据实际需求调整架构布局。
- **成本效益高**：相较于域控制器解决方案，实施成本更低。

### 缺点
- **缺乏集中管控能力**：无法实现统一的身份验证服务，也无法对网络资源进行高效集中的管理。
- **安全性较弱**：由于缺乏严格的安全措施，容易受到未授权访问的风险。
- **扩展性有限**：随着组织规模的增长，基于工作组的管理模式可能会变得难以维持。

对于拥有大量终端设备或者有更高安全需求的企业而言，推荐采用更为强大的域结构来进行网络管理。
