### 优化后的文本

#### 应用程序评估结果

以下是不同应用程序在冷启动和恢复检测中的评估结果。所有评估基于每个应用程序的10个样本，除非特别说明。

**表17：手动触发的应用程序冷启动检测（不使用ADB）**

| 包名 | 精确度 | 召回率 |
| --- | --- | --- |
| com.paypal.android.p2pmobile | 100% | 100% |
| com.scb.breezebanking.hk | 94% | 100% |
| com.snapchat.android | 100% | 94% |
| com.sometimeswefly.littlealchemy | 100% | 100% |
| com.ted.android | 89% | 94% |
| com.whatsapp | 100% | 100% |
| io.silvrr.silvrrwallet.hk | 100% | 100% |
| org.cyanogenmod.snap | 83% | 80% |
| org.telegram.messenger | 100% | 84% |
| tv.danmaku.bili | 100% | 90% |
| 平均值 | 96% | 100% |

**表15：应用程序恢复检测**

| 包名 | 精确度 | 召回率 |
| --- | --- | --- |
| at.DiTronic.androidgroup.randomgallery | 90% | 90% |
| com.android.chrome | 60% | 70% |
| com.android.vending | 90% | 80% |
| com.dropbox.android | 70% | 20% |
| com.facebook.orca | 100% | 90% |
| com.google.android.apps.photos | 100% | 100% |
| com.google.android.gm | 100% | 100% |
| com.google.android.music | 100% | 100% |
| com.instagram.android | 100% | 100% |
| com.isis_papyrus.raiffeisen_pay_eyewdg | 100% | 80% |
| com.lenovo.anyshare.gps | 100% | 100% |
| com.paypal.android.p2pmobile | 100% | 100% |
| com.scb.breezebanking.hk | 100% | 100% |
| com.snapchat.android | 100% | 100% |
| com.sometimeswefly.littlealchemy | 100% | 100% |
| com.ted.android | 80% | 80% |
| com.whatsapp | 100% | 100% |
| io.silvrr.silvrrwallet.hk | 100% | 100% |
| org.telegram.messenger | 100% | 100% |
| tv.danmaku.bili | 100% | 100% |
| 平均值 | 86% | 100% |

**表16：混合应用推理评估（冷启动和恢复）**

| 包名 | 精确度 | 召回率 |
| --- | --- | --- |
| at.DiTronic.androidgroup.randomgallery | 75% | 100% |
| com.android.chrome | 56% | 75% |
| com.android.vending | 81% | 75% |
| com.dropbox.android | 75% | 69% |
| com.facebook.orca | 94% | 100% |
| com.google.android.apps.photos | 69% | 80% |
| com.google.android.gm | 93% | 86% |
| com.google.android.music | 92% | 85% |
| com.isis_papyrus.raiffeisen_pay_eyewdg | 79% | 76% |
| com.lenovo.anyshare.gps | 100% | 94% |
| 平均值 | 87% | 91% |

**表18：Android 8上的冷启动检测**

| 包名 | 精确度 | 召回率 |
| --- | --- | --- |
| air.com.hypah.io.slither | 100% | 100% |
| at.DiTronic.androidgroup.randomgallery | 90% | 90% |
| com.Slack | 90% | 100% |
| com.android.chrome | 80% | 60% |
| com.android.vending | 100% | 80% |
| com.bankofamerica.cashpromobile | 90% | 100% |
| com.dropbox.android | 100% | 100% |
| com.ebay.mobile | 30% | 100% |
| com.google.android.apps.docs | 90% | 100% |
| com.google.android.apps.photos | 100% | 100% |
| com.google.android.gm | 90% | 100% |
| com.google.android.keep | 100% | 100% |
| com.google.android.music | 100% | 100% |
| com.scb.breezebanking.hk | 100% | 100% |
| com.sololearn.cplusplus | 100% | 100% |
| com.sometimeswefly.littlealchemy | 90% | 100% |
| com.ted.android.conference | 100% | 100% |
| com.twitter.android | 60% | 60% |
| com.whatsapp | 60% | 60% |
| org.catrobat.catroid | 85% | 100% |
| 平均值 | 87% | 91% |

以上表格展示了在不同场景下对20个应用程序进行的评估结果。精确度和召回率是根据每个应用程序的多个样本来确定的。这些评估结果为后续的研究提供了重要的参考数据。

---

通过这种格式，可以使信息更加清晰、连贯，并且专业。希望这对你有所帮助！
